id,nick,comment,refer_nick,refer,time,star
1436959152,火火Lucky_yu,小爱，午好,,,2020/04/30 11:07:48,刚刚,0
1436959152,哥舒不带刀,我们小爱永远都真的暖,,,2020/04/30 11:07:49,3分钟前,0
1436959152,-阳光-肆无忌惮-,哈哈哈哈感觉大众听审每次都被骂的不行,shut------up-,(我在玩梗),2020/04/30 11:07:49,8分钟前,0
1436959152,-阳光-肆无忌惮-,不是不是[多多捂脸][多多捂脸][多多捂脸]我不是大众听审，我是歌迷ヾ ^_^♪,shut------up-,"大众听审？！
ahhhh？",2020/04/30 11:07:50,8分钟前,0
1436959152,姜岛已凉1997,听这首歌就知道花花真的是一个情感很细腻的人～ 20新歌迷，果然一听花花就停不下来，这几天完全上头了～,,,2020/04/30 11:07:50,15分钟前,0
1436959152,阿乐吖ler,宠爱小爱,,,2020/04/30 11:07:50,28分钟前,0
1436959152,浅Yu随风,可见他们的风言风语，一文不值,许多yu_,20块钱挡住了多少恶意,2020/04/30 11:07:51,32分钟前,1
1436959152,Secret丶覓覓,继jay之后，唯一花钱买的专辑！ 花花将是下一个华语乐坛的奇才！,,,2020/04/30 11:07:51,33分钟前,0
1436959152,橘寄ovo,把第一次买专辑献给你,,,2020/04/30 11:07:51,36分钟前,0
1436959152,玫瑰花瓣的雨,温柔又给人力量,,,2020/04/30 11:07:52,37分钟前,0
1436959152,本庄弥生,作为一个路人，我觉得华晨宇这些年一直在努力突破自己，我能感觉到他对音乐的态度和付出的努力，很正能量的一位歌手！[赞][赞],,,2020/04/30 11:07:52,52分钟前,3
1436959152,Amriice,因为版本太多分流啦,绒绒才不去搬砖,小爱评论少的可怜[多多捂脸][多多捂脸],2020/04/30 11:07:53,09:54,0
1436959152,爱上柠檬的伤,真的是治愈系列的，忧伤沉重的心情的时候听着这声音这歌词这情感中，能一点点的让自己抽离出来，心里感受到花花传达的满满的力量，温柔的关爱拉着抽出来。抬头见到光，是啊，不应该忧伤，不怕，不怕。。。,,,2020/04/30 11:07:53,09:54,0
1436959152,夙-邪,打卡,夙-邪,想过离开，当阳光败给阴霾，没想到你会拼命为我拨开。,2020/04/30 11:07:53,09:51,0
1436959152,镜子里的呆胖yu,世界上好多个成千上万的人，能遇到已是万幸，谢谢你带着满满的温暖出现在我的生命里。For Forever,,,2020/04/30 11:07:54,09:48,0
1436959152,红海飘枫叶,当他说“伤疤留给回忆”，似乎疼痛真的能减轻；当他说“别怕，别怕”，仿佛勇气开始在心中聚集。温柔是一股强大的力量，冲散阴霾，明亮岁月，感谢遇见！,,,2020/04/30 11:07:54,09:43,0
1436959152,沈辞柔_MFhF,我也是花了3元，可以重复听，买过的，无论哪个歌单只要是这首歌，就不用再花钱买，直接可以听,梦里挑灯看鬼片,什么意思？这个不要钱？那我之前花三块钱买的呢？可以退么,2020/04/30 11:07:54,09:41,1
1436959152,来自火星的流水,好听啊！！！我醉了～,,,2020/04/30 11:07:55,09:27,0
1436959152,萬雨归壳,夕阳西下 接通电话 是你呀 #华晨宇好想爱这个世界啊#,,,2020/04/30 11:07:55,09:26,0
1436959152,绒绒才不去搬砖,小爱评论少的可怜[多多捂脸][多多捂脸],,,2020/04/30 11:07:55,09:25,1
1436959152,羡笙-yu,"小爱的结尾是虚构的美好幻想的温柔。善良中透漏着无奈
小疯子的过程是灵魂的洗礼，解脱的狂欢。疯狂中透漏着绝望
火孩的故事是心灵的慰藉，温暖的怀抱。好像裂缝中的阳光。",,,2020/04/30 11:07:57,09:14,1
1436959152,-Anna-l,❤️,,,2020/04/30 11:07:57,09:11,0
1436959152,叶倾倾晨yu,小爱公主，早安,,,2020/04/30 11:07:58,08:38,0
1436959152,叶倾倾晨yu,哈哈哈,薛薛5945,"火娃：我并到专辑里啦
小爱：我裂开了",2020/04/30 11:07:58,08:36,0
1436959152,Lianhcy,以温柔对抗黑暗，以理解驱散抑郁，用笑容去迎接美好。关爱身边那个看似快乐却内心饱受煎熬的心灵，愿每个人都能在爱与关怀中，与世界的美好不期而遇。,,,2020/04/30 11:07:59,08:34,0
1436959152,Lianhcy,华晨宇说过，喜欢他的都是善良的人,10赵书宇05,我最好的朋友喜欢华晨宇六年了。虽然我们才认识不到一年吧，但是我超级喜欢她，被人理解的感觉真好。她是个心灵清澈可爱的女孩子，她喜欢的华晨宇一定也是个温柔善良的人吧。她在我心里是那种不声不响但是什么都做的很好的人，我也要加油努力，一定不能把这份可贵的友谊弄丢。,2020/04/30 11:07:59,08:32,1
1436959152,天龙管理处,花花,,,2020/04/30 11:07:59,08:25,0
1436959152,吧唧一口呆橘,♡,,,2020/04/30 11:08:00,08:22,0
1436959152,吧唧一口呆橘,小爱,,,2020/04/30 11:08:00,08:22,0
1436959152,吧唧一口呆橘,早安,,,2020/04/30 11:08:00,08:22,0
