id,nick,comment,refer_nick,refer,time,star
1426883824,酒哩顾青欢,每个人都想被温柔以待·愿我们都能先以温柔对待他人,,,2020/04/30 11:07:50,2分钟前,1
1426883824,光微卡卡1128,也很勇敢呐,,,2020/04/30 11:07:50,4分钟前,1
1426883824,Kiyo-cbb,哇 在这里也能发现阿米！,大号秋日鸭泡,立志听完所有网易云音乐，打卡,2020/04/30 11:07:51,4分钟前,0
1426883824,玉米淡淡然,太温柔了,,,2020/04/30 11:07:51,5分钟前,1
1426883824,大号秋日鸭泡,立志听完所有网易云音乐，打卡,,,2020/04/30 11:07:52,9分钟前,1
1426883824,小li不吃香菜,神明给我难熬都日子里唯一的甜头就是易烊千玺.,,,2020/04/30 11:07:52,18分钟前,2
1426883824,Stellataoo,早安,,,2020/04/30 11:07:52,18分钟前,1
1426883824,豬唸,安安静静的听千玺的歌,,,2020/04/30 11:07:53,32分钟前,1
1426883824,心仪小千,"你只管善良
上天自有衡量",,,2020/04/30 11:07:53,55分钟前,2
1426883824,对小俊心动o,赞美的话可以脱口而出 诋毁的话要三思而后行,,,2020/04/30 11:07:53,58分钟前,2
1426883824,Augusst_,我喜欢的人是位温柔的少年,,,2020/04/30 11:07:54,09:51,2
1426883824,是你的晓彤吗,未来的易烊千玺 我保证 我一定走好现在的每一步,,,2020/04/30 11:07:54,09:50,2
1426883824,hy心态hy,谁敢欺负我广寒仙子的宝宝，我特么让二师兄压死他,月亮上的垂耳兔7,我真的受够了这个家，我是一个成年人我有自己的思想，我有自己的做事的方法，一个碗都要在旁边指手画脚，说这里要擦哪里要擦，我一个成年人洗碗难道不知道该擦哪里，只要我反驳一句就是我的不对，就会说养我不是我来和她吵架的，毕业以后我真的要远远的离开，家是很温暖但是不易久待。毕竟我是女孩👧,2020/04/30 11:07:54,09:50,0
1426883824,南栀不好惹,千纸鹤飞过，有驼鸟姐姐么？^_^,,,2020/04/30 11:07:55,09:43,4
1426883824,wo雪呦,会的,眸予温柔,希望还可以遇到,2020/04/30 11:07:55,09:41,0
1426883824,-57wwwww,泪目,君君瑶呀,去年高三做的《必刷题》背面有一段文字让我泪目：高考 无非就是就是很多人同时做一份卷子 然后决定去哪一座城市 最终发现 错的每一道题 都是为了遇见对的人 而对的每一道题 是为了遇见更好的自己 仅以此言献给所有不甘平凡的高三的你们 加油哦 ,2020/04/30 11:07:56,09:34,0
1426883824,跟著伱沒道理,很后悔明明有机会见你最后一面我却放弃了，总放着侥幸心理还有机会的,,,2020/04/30 11:07:56,09:26,3
1426883824,小豌豆er-,朋友请听好，聊天就聊天，您别对别人进行人身攻击好吗？这样真的特别不礼貌特别讨厌,,,2020/04/30 11:07:56,09:25,2
1426883824,跟著伱沒道理,多想再听你我亲爱的奶奶再说说话哪怕一句也好,,,2020/04/30 11:07:57,09:24,3
1426883824,北諊,奶奶会理解的你，想开一点啦 奶奶也希望你快快乐乐的,跟著伱沒道理,最近经常听这首歌但越听越伤心因为奶奶刚走我却因为某些事回不去,2020/04/30 11:07:57,09:24,0
1426883824,北諊,奶奶会理解的你，想开一点啦 奶奶也希望你快快乐乐的,跟著伱沒道理,最近经常听这首歌但越听越伤心因为奶奶刚走我却因为某些事回不去,2020/04/30 11:07:59,09:24,0
1426883824,跟著伱沒道理,最近经常听这首歌但越听越伤心因为奶奶刚走我却因为某些事回不去,,,2020/04/30 11:07:59,09:16,3
1426883824,-xxxx_00,"每每失落时都是你的歌声萦绕耳畔陪伴我日日夜夜
我想我还要继续坚持下去 坚持下去...
要气质干净成绩优异带着最好的自己伴着夏日晚风急匆匆吃完一碗饭穿上漂亮裙子去见那个很值很值的你 加油！",,,2020/04/30 11:08:00,09:10,4
1426883824,楠楠嫂嫂e,"“遇见你们是我最大的幸运”
——易烊千玺",,,2020/04/30 11:08:00,08:46,4
1426883824,安静的康康,80天也可以创造奇迹的，你需要的是相信自己，加油，千玺做到了，你也可以,羊尾巴嘻,"我好像不行了
剩下80天
好像真的没希望了
很难过很难过很难过
我整整五年的梦想
我不想停止努力
可是好像真的不行了",2020/04/30 11:08:00,08:38,0
1426883824,F不要生气,极致温柔,人间不正经观察员,曾看过这样一段文字“这个人真好，好到我觉得这一生忽然就有了寄托与希冀。想看他娶妻生子，万事顺遂！长命百岁！”易烊千玺是我声色张扬下欲盖弥彰的温柔理想.,2020/04/30 11:08:01,08:21,0
1426883824,姜东昊nvpengyou,希望回头看我依旧是个温柔的人,,,2020/04/30 11:08:01,08:16,2
1426883824,Dainiue,:Daniu🐛🦷,,,2020/04/30 11:08:01,08:07,2
1426883824,nskfnfn,崽崽，真棒,,,2020/04/30 11:08:02,08:06,2
