id,"nick,comment",refer_nick,refer,time,star
151985,一米六加二,今天去看我爸爸了，今年是我一个人去的，还带上了我捡回来的狗狗，念了我最近成绩后给他唱了这首他生前最喜欢的这首歌，我还说:爸爸啊 ，狗狗叫富贵儿，是我违抗了妈妈执意要养的，可她很听话啊！这次班级第六名 ，全校排七十八，还记得我刚分班的时候倒数第二，好丢脸啊!高考延期了，我会好好加油喔！,,,16分钟前,0
151985,R醉了,一年级的时候班主任给我们教过，都十几年了，还记得 但是老师不在了,,,46分钟前,0
151985,旧人城cc,小时候看这首歌MV总觉得女主像班上的那位女生,,,14:08,0
151985,凌晨3点20的钟声,小学时我妈有段时间很喜欢这首歌，那时候她还很年轻，虽然现在她还是很美，但也已经过了半百。人生长吗？人生好短，总会老去，最后远去。不知何时开始，我开始害怕时间流逝。,,,13:43,0
151985,周钲欣,一样，我在没学雨巷时就听过,打马的人,高中一篇课文《雨巷》里有一句，像丁香一样的姑娘，我们语文老师仿佛触景生情般问了一句，有谁听过丁香花吗？我举了手，老师让我唱，教室很安静，满是我不自信的歌声，老师很感动，看来是有故事的人。,13:41,0
151985,Sandm旧颜5256,不知道是不是开启的方式不对，2020年并不是那么好,开Xin一点,十年一梦 一梦十年！马航已经消失五年了，北京奥运会也是十一年前了，很火的江南style也是7年前了，那些年很遥远的2020也就只有3个月就到了。。。,13:02,0
151985,Sandm旧颜5256,我是学法的，听过好多学医的说，医学生保护世界，法学生保护你们，，，迟来的正义不是正义，但也是一种慰籍，凶手被判了死刑,清平乐的喵,今天室友怀旧，突然想听这首歌，搜了歌还未听完，就听闻杨文医生遇害的事情，学医的我一阵心寒，不知作何言说。“我怀着一腔热血踏上行医之路，最终却丧命于自己的信仰之下”,13:00,0
151985,就叫瑰夏,2020了现在,好男一身毛,总是恍惚中有一种错觉，以为十年前是1994年，,12:53,0
151985,唐僧喜欢吃葡萄干儿,丁香花,,,12:51,0
151985,熊猫逗哥哥,喜欢上这首歌的时候是04年11岁小学5年级，现在27岁 工作很多年了,,,12:21,2
151985,不眠的梦,现在2020了,好男一身毛,总是恍惚中有一种错觉，以为十年前是1994年，,12:07,0
151985,阿鲤烤鱼豆腐汤mio,每个读音都准的那是朗读，那是秦牛正威,SunBird-_-,把读音弄准好吗？那粪前开满鲜花。。。我实在是受不了,11:58,0
151985,BlueToMySoul,愿花飨逝者，春暖斯人。🕯️,,,11:56,4
151985,爱做欢喜少-年,你可以不听 谢谢,君莫迟,受不了了别听,11:15,0
151985,童年的小拖鞋,致敬英雄,,,11:11,2
151985,会劈叉的大马猴,现在是2003年吗。尘世间，有什么留得住。,在那之前要保持勇敢哦,"时年 二三
十年前 十二三",10:57,0
151985,不信取不了一个昵称,印象很深刻,樱桃小雯子,有人还记得十一年前《读者》上那篇《丁香花，你在天堂能听见吗》,10:52,0
151985,张椋因,致敬在天堂的英雄们 ,,,10:29,3
151985,在那之前要保持勇敢哦,"时年 二三
十年前 十二三",,,10:23,1
151985,Daisy崔媛,早，又来听了，今年22岁了。,,,10:13,6
