id,"nick,comment",refer_nick,refer,time,star
31877470,今天骂淘淘了吗,抱抱你,bum33,妈妈一路走好。想你,36分钟前,0
31877470,梦月HopE,抱抱,花会枯萎_爱永不凋零,我的世界只剩下荒漠,14:55,0
31877470,前无尘,民族的才是世界的,TS-GraceVanderwaal,我也学民族的，我原来比较喜欢流行，但是现在渐渐爱上了民族和古典。真的很好听,14:38,0
31877470,小口羊本羊,特殊的日子，抱歉没有大家的经历我无法完全感同身受，但希望每一个人都能幸福安康,,,14:20,1
31877470,阿姨做饭时,加油啊崽子。,墙角那小孩ZX,爸爸去世的第12年，今天突然意识到六年来的两个同学好朋友（男生），家就在爸爸车祸去世的附近地方。这一路他们帮助我，让我强大，感谢他们，也突然觉得这就是天意，是爸爸临走前不舍的安排吗……爸，今年丫头高考了，很怕会辜负，保佑我们好运吧！,14:08,1
31877470,是诺诺u,穿过荒野的风 你慢些走,,,13:38,0
31877470,杀死小羊,唱歌的人不时掉眼泪，原来词有贾樟柯参与写,,,13:17,0
31877470,Rong_hr,看来评论里有上万有画面感的人，都住在草原啊,玙诘,毫无画面感的词，这个词居然还有贾樟柯的参与，他还是安心做他的导演去吧，填词水平如此之低。,12:32,0
31877470,橘生淮北_WM,希望喜欢这首歌的朋友 也能去听一下谭维维的《往日时光live》. 那首歌真的特别棒 一直是心中谭维维前三的live 但是听的人不是特别多,,,11:44,0
31877470,修无先生,致敬,,,11:06,0
31877470,花会枯萎_爱永不凋零,我的世界只剩下荒漠,,,10:51,1
31877470,不叫塞班,若你一直怀念他，他便会永远活在你心里，一直陪伴你的。,57Kiki,昨天爷爷过世了 今天送去火葬了🙏,10:11,0
31877470,jin的小恐龙,莫ky,煇叔,这首歌我更喜欢左小唱的！就是好这口…,08:51,0
31877470,只耳朵竖起来,深入人心的现场,,,01:56,0
31877470,阿龙的英俊丶,没有。,R-U-Kidding-Me,难道没有人觉得中间转折那段很生硬很不和谐吗？感觉把那段去了更好,00:17,1
31877470,晝友生,谢谢。,剑廿十三,一个年幼失去父亲的小女孩，从小承担照顾家人的重担，不该嘶吼？一个曾经被看为冠军的才女，一直被埋没了这么多年，不该嘶吼？一个执着于做音乐的明星，却只被观众说成靠飚高音上位的人，不该嘶吼？,昨天21:40,0
31877470,R-U-Kidding-Me,难道没有人觉得中间转折那段很生硬很不和谐吗？感觉把那段去了更好,,,昨天21:01,1
31877470,太阳照常升起_lhaka213,这辈子第一次感受遗憾，是因为现在会喝酒会抽烟，却再也没有机会给爷爷敬杯酒，点一颗烟了，真的是遗憾,,,昨天20:39,0
31877470,煇叔,这首歌我更喜欢左小唱的！就是好这口…,,,昨天19:22,0
31877470,玙诘,好的,竹取__,这也就是翻译填词的弊端 原版蒙语词表达的意思更为复杂 左小和贾樟柯对于原版歌词意思做了不少改动 只能说这个词比较应谭维维这版的景,昨天18:13,0
