id,"nick,comment",refer_nick,refer,time,star
188591,我是吴知道,往事历历在目,,,56分钟前,1
188591,把酒醉卧美人膝,04这边,五竹-_,有喜欢张国荣歌的90后吗,15:12,0
188591,Jaxennnnn,20岁人仔了 外貌早改变了 处境都变埋了10年了但情怀从没变过。阿爷阿嫲 想念你地了,,,15:02,1
188591,HoldTight7,"“人死了，就变成一个星星。”
“干嘛变成星星呀？”
“给走夜道儿的人照个亮儿……” ─",,,14:34,1
188591,HoldTight7,缅怀,,,14:32,0
188591,Maxion_,00后也有,五竹-_,有喜欢张国荣歌的90后吗,14:02,0
188591,山河不如你-_,缅怀！,,,13:35,0
188591,元気个傻瓜笨蛋略略略,04年的✋✌,五竹-_,有喜欢张国荣歌的90后吗,12:18,0
188591,吾悦尔仁,零六后,五竹-_,有喜欢张国荣歌的90后吗,11:05,0
188591,ZhAnGguoRaNg_HuAn,想念,,,11:01,2
188591,幼稚园厨子,缅怀,,,09:07,0
188591,我勿忘心安,缅怀,,,02:36,1
188591,好像是妮妮吧_,04年报道.,五竹-_,有喜欢张国荣歌的90后吗,01:24,0
188591,joynieqian,今天跟朋友唱k，我点了这首歌曲，其它人却没听过………哥哥是年少时的一场梦，无人能代替的梦。时过境迁，似水流年，依然怀念……,,,00:38,4
188591,柚子归,2020.4.4刚过12点半个钟 手腕上没有一块表 因为没钱 今晚得吃泡面 看到蜡烛我突然就进来看看我最喜欢的歌 第一次在他的歌曲底下留言 我想 如果多一张船票 你会不会同我一起走 已经24岁了 希望疫情快点过去 祝大家身体健康,蹲久了腿麻,哥哥如果还在的话，一定会开微博的，他那么怕寂寞，那么话痨……肯定会特别自恋，每天发自拍，晒和唐生的照片，晒狗狗，还有啊，他那么爱打羽毛球，一定运动健身排第一…………,00:36,0
188591,慕冬丶丶,4.4缅怀战疫英雄，你们永远是我们的天使。,,,00:03,5
188591,26301705,只有想念,,,昨天23:27,2
188591,孤独的阿拉斯加23,头一次听，不知道怎么眼泪哗哗流…,,,昨天23:20,1
188591,白雪鸽Leslie,希望哥哥可以保佑我考个好学校,,,昨天23:05,1
188591,白雪鸽Leslie,肯定有💕,永远清醒兮,有喜欢哥哥的00后吗？,昨天23:02,0
