id,"nick,comment",refer_nick,refer,time,star
25727803,Youth_ing,突然要vip？？什么操作？,,,9分钟前,1
25727803,小绿茶叶,"别急 甜甜的恋爱马上就轮到你了
单身的女孩不要着急
也许上帝心里的想法是
我要给这个可爱的女孩
留个特别的男孩。",,,15分钟前,0
25727803,BadGuy1,真滴,只为我悲喜__rox0,自己百度去,33分钟前,0
25727803,憨憨_3YjR,"结婚前往下念
男：太好了，我期待的这一天终于来了
女：我可以后悔吗
男：不可以，想都别想
女：你爱我吗
男：当然
女：你会背叛我吗
男：不会，我怎么会有这种想法
女：你能吻我一下吗
男：当然，不止一下
女：你有可能打我吗
男：永远不可能
女：我能相信你吗
结婚后往上念",,,50分钟前,4
25727803,祖儿想喝奶茶了-,互粉[西西机智],,,15:18,1
25727803,浑浑噩噩小生活171110,挂了4.2买了个vip,,,14:51,0
25727803,陈梦媛biu,突然要了VIP，唉！,,,14:31,3
25727803,栀槿简樨,🍃这里有撩人的春，也有动人的话,,,14:19,0
25727803,想唱歌融化你,听歌付费，不是应该的吗？？谈何吃相难看了？付费意识还是要有一点的吧，以前不收费的时候，怎么就不见夸他不收费呢？,一区王者500点,一首歌听多了，网易就问你要钱了，我的喜欢十首九首都要钱了。吃相难看,14:15,0
25727803,miracle-杰,收费了？,,,13:23,9
25727803,严天龙1709,我总不能阻止你奔向比我更合适的人吧，YY，八年零21天，虽然最后没走到一起，但是我祝你幸福,,,13:22,1
25727803,长谷川青海,为英雄默哀，向英雄致敬,,,13:19,0
25727803,纯简-辣鸡-池德,日推,,,13:19,0
25727803,惟宽Scott,求求你了解一下事实吧，这是发行公司的问题，全网收费，不管网易云的事情，Oaky？？,一区王者500点,一首歌听多了，网易就问你要钱了，我的喜欢十首九首都要钱了。吃相难看,13:15,6
25727803,清酒一杯诗半首,收拾收拾心情，读读书。,,,13:12,0
25727803,你得不到的脏爸爸,,,,12:46,0
25727803,逆着光的梦丫,买单曲,橘子辉煌_XX,收费了！哥你不可以！！啊啊啊啊啊,12:45,0
25727803,摇晃在无垠星海,娘本身就不应该是贬义词,可能我长的比较好看吧,可能因为你对温柔的定义是娘吧,12:15,0
25727803,晨初照,修炼爱情的心酸，我们这些努力不简单,,,11:59,1
25727803,寒潭十里,对啊,花椒加白酒,而且刚刚又多了不少。前几天我把“裂缝中的阳光”无限循环，今天它把VIP和我要。,11:48,0
