id,"nick,comment",refer_nick,refer,time,star
28427742,Kylin71,小杰又治愈我了,,,13:56,0
28427742,硫涩,我爱你。亲人。,,,昨天23:23,0
28427742,追云度霞,听,,,昨天20:51,0
28427742,吟游诗人哎呀咿呀,现在张杰的粉丝开始鼓吹张杰的高音比张雨生高了，张杰自己都是张雨生粉丝,,,昨天16:06,0
28427742,匿名用户_kj2Z,张杰唱歌这么努力，为什么有人黑他？？,,,4月1日 15:52,0
28427742,__清川带长薄,你是我的宝💙,,,3月26日 22:58,0
28427742,李智博150,我第一次听就觉得很难过，最后四句明显是人不在了，是一种怀念，完全听不出暖,B616号小行星,不了解背景的话，是一首温暖的歌没毛病,3月24日 18:16,0
28427742,我想170920,"现在还没有完全能体会这首歌表达的情感
过几年再听肯定会有所不同",,,3月24日 10:20,0
28427742,我想170920,最近重温歌手 再来听杰 歌,,,3月24日 10:18,1
28427742,追风如梦微笑,考古,,,3月22日 13:23,0
28427742,傲娇的小哥哥520,十周年路过,泪滴清酒,黑张杰的虽然多 我不是张杰的粉 但是他唱歌真的蛮棒 这首歌是我感觉他唱的最好听的了。记得那时候看直播 他好像还流了眼泪。歌曲棒 唱的人也棒。,3月18日 12:29,0
28427742,傲娇的小哥哥520,主要编曲很好,泪滴清酒,黑张杰的虽然多 我不是张杰的粉 但是他唱歌真的蛮棒 这首歌是我感觉他唱的最好听的了。记得那时候看直播 他好像还流了眼泪。歌曲棒 唱的人也棒。,3月18日 12:29,0
28427742,ll勾陈一,“外面的世界再多纷扰，你依旧把单纯拥抱”,,,3月16日 23:39,2
28427742,你说我开不开森,你的声音给我很多依靠。杰哥，十年青春是你，你陪了我十年，接下来的日子里我希望能和那个男孩还有你的声音一起走过。,,,3月12日 16:44,0
28427742,馧呐,我来过，我也还爱着❤️,,,3月9日 16:28,2
28427742,素手托腮,十三年了。宝。你好呀(●°u°●) 」,,,2月29日 11:54,1
28427742,素手托腮,杰哥是我的宝,,,2月29日 11:54,1
28427742,-吾性空山-,考古,,,2月23日 13:10,5
28427742,变了样,四年了，网易云还在用吗,泪滴清酒,黑张杰的虽然多 我不是张杰的粉 但是他唱歌真的蛮棒 这首歌是我感觉他唱的最好听的了。记得那时候看直播 他好像还流了眼泪。歌曲棒 唱的人也棒。,2月22日 22:22,1
28427742,平君难意,我来过，我还爱着。,,,2月17日 12:51,1
