id,"nick,comment",refer_nick,refer,time,star
468176711,路-岸,对了，今天我的笔又掉进床缝了，好气哦。等我哪天一定展示大力士神力以及缩骨神功找到它！,路-岸,城南，有点想你。好了，滚去复习了。,1分钟前,0
468176711,山河与泽宸,君安在，花已开，我在城能等你,臭屁小x,今天是清明节啊，城南你看到了吗，花都开了……,2分钟前,0
468176711,羊脂玉w,半年后，我去找你啊，城南。,,,2分钟前,1
468176711,家人健康金钱满仓,要加油哦,要骑鲲,城南 我好疼 胸口好疼 不知道该怎么办 我不想告诉家人 打卡第三百九十一天。,2分钟前,1
468176711,Lordop,不相信别人只相信自己。,,,3分钟前,0
468176711,十三和贰孃,这首是纯音乐嘛？好感动,,,3分钟前,0
468176711,路-岸,城南，有点想你。好了，滚去复习了。,,,4分钟前,1
468176711,城南花永在,实话说，我其实一点也不想在这个节日来找你，但是，我还是想你了，2年过去了，你还好吗，我依旧在等你,,,4分钟前,1
468176711,一只九辞,我这边今天天气很好，难得出了大太阳，楼下开了好多我叫不出名字的花……你那边，一切都还好吧？,,,5分钟前,1
468176711,恋着你wu,谢谢,木易菓,"010-8295-1332
中国自杀求助电
如果你丧失了生活下去的动力
请你那怕在最后，也要打这通电话",5分钟前,0
468176711,凉生秋雨1904,一切都会好的，没有他的世界很空虚,,,5分钟前,1
468176711,山河与泽宸,花开了，我在城南等你,,,5分钟前,3
468176711,脸红_RuOG,有一天我在跟他聊天 他突然跟我说他要吃饭了 我愣了一刻看了一眼自己手中的碗 我想这就是爱与不爱的区别,,,6分钟前,1
468176711,恋着你wu,灰色的屏幕，好伤感啊,,,7分钟前,3
468176711,忠于白米饭,庚子清明，城南花已开。,,,7分钟前,3
468176711,林深鹿不归,今天天气很好 花开的也很好,,,8分钟前,2
468176711,Mangosteen_J,加油哦，你还好嘛,,,8分钟前,1
468176711,病弱扶风,你看，城南的花都开了，天空也亮了。一切都会好的。,,,8分钟前,1
468176711,世界痛吻我-,清明了,,,8分钟前,1
468176711,l氯乙烯,你食言了,城南花已开,三月的最后一天，我最喜欢的月份即将过去了，希望明年三月我带你们去看城南花开！城南花已开，花开花落时！,8分钟前,0
