id,"nick,comment",refer_nick,refer,time,star
1410815872,-白居居-,我还是没有勇气在别人面前说出外婆这两个字，怕一说出口眼泪止不住,,,28分钟前,0
1410815872,这世间-无我无你,两年前临过年的前两天，外婆去世了。表哥一通通电话打来说外婆想见我们最后一面。可是还未等我们收拾好行囊，外婆当夜就走了。我正是高三，初八就要开学，爸妈硬是让我和妹妹待在家准备开学，他们陪我们过完年，初一凌晨就坐上了浙江通往贵州的高铁。我终究没有见到外婆最后一面，也没能去送她一程。,,,14:37,0
1410815872,辣椒油油不油,去年.,,,14:00,0
1410815872,惜沐啊啊啊,在我记忆里，邻居的奶奶爷爷对我真的是非常好，我总是呆在他们家，奶奶位退休老师，爷爷是一位航母建造员，老两个和和睦睦，教会我很多知识，真的是对我一生影响都很大,,,13:18,1
1410815872,神说你在劫难逃_,同意,第7块银河碎片,外婆真是世界最温暖的一个名词❤️,13:05,0
1410815872,1997zqg,外婆是对我最好的人 ❤️我想您了,,,12:53,0
1410815872,甜橙度半,我人生五分之三的时间都是在外婆家的，有什么好吃的都给我留着，我都这么大每次回去还偷偷给我塞钱，她八十多岁了，希望时光慢些吧，让我能多陪陪她,,,12:51,0
1410815872,清秋廿一DAYTOY,你说过，要等我们长大，要看着我们上大学，要看着我们结婚生子，可是你还没等我们长大，你却食言了，外婆，我想你了😭,,,11:15,0
1410815872,把灯点亮,我要长大，我要外婆外公永远健康,潇湘樾,"你们一定要好好的啊，等我长大，带你们去旅游，带你们吃好吃的，给你们买新衣服……
希望外公的包子，外婆的刺绣，永远不要只存在回忆里！你们要好好的，一定要好好的！",10:59,0
1410815872,主公无名,外公还在，外婆却在2020年走了，她走之前偷偷塞给我和我表姐一人5千，说是外婆再也等不到你们结婚那天了，因为怕到时候外公不给（外公疼表哥多一点），这钱就现在先给你们了,,,09:37,0
1410815872,林DAYANG,今天是清明节，又想起你了，但是我已经快记不清你的样子了，希望梦里能看到你……,,,09:32,0
1410815872,凡凡饭范,今年都已经是您离开的第三年了，原谅我到现在都不知道您是在具体哪一天走的。其实在那一周的一个晚上我有突然被惊醒过，有种从未有过的害怕感觉，可能您就是那时候走的吧，在给我告别。在您走的那天我真正体验到了哭到头昏脑胀的那种无力感，我真的一辈子都不想再体验了。姥儿，您最喜欢的外孙女想您了,,,08:59,0
1410815872,大饼哥-boniu,我当年过生日时也在外婆的灵棚里,风味菇凉儿,小时候跟外公外婆相依为命，6岁的时候外公外婆相继离开我，那时候的自己真的是无依无靠。还记得那时候听说当人去世了就会去天上，所以有一次哭的撕心裂肺的时候差点想轻生去找他们[多多大哭]，现在想想都害怕。到后来才知道，外婆去世的那天是我的生日~从此我也不再期盼着过生日了,07:23,0
1410815872,未名之风,我不爱她，她也没爱过我。她不过是妈妈的妈妈，她是妈妈的妈妈。,,,04:15,0
1410815872,江關,外婆………,,,01:25,0
1410815872,左三安,外婆是一个很温暖很温暖的存在。我后悔遗憾的是，她走的时候我还没有懂事，只会闹。有时候，我会想，如果外婆在的话，受委屈时，我可以去找外婆。我会想，如果外婆在的话，放假时，我可以去找外婆。我会想，如果外婆在的话，过年时，我可以去找外婆。…外婆给我的是偏爱，别人给不了的偏爱。,,,00:28,0
1410815872,清风南趋呀,从那以后 再也没有人将我的名字叫出我最心安的感觉,今天要早早早点睡觉,外婆已渐渐油尽灯枯，躺在床上连翻身的力气都没有了。每次看见她双眼紧闭，发出痛苦的喘息声，真的很想哭。她看得很开，我们都不想让她离开人世，但她说：“死了是我的福分。”希望外婆能多享受一点2020的美好，被这世界温柔以待。,昨天23:59,0
1410815872,扶桑_-,哭了,,,昨天23:48,1
1410815872,一个恋爱小天才,"十年了 小学放学的下午 外婆走了 被病魔折磨的瘦骨嶙峋 来不及说一句对不起 来不及看我长大 穿着嫁衣 秋天的落叶归了根 带走了你 外婆啊 我会一直努力 保护好你的女儿 也会努力长大
万物生长 死亡 衰退 是自然规律 所以啊 好好珍惜每一天太重要了
外婆 我想你了。",,,昨天22:30,1
1410815872,我还是深爱着ni,欣宝，好羡慕你还有外婆，啊哈哈。我想再说一遍，宝宝，我爱你，你是我最最宝贝的女孩子，为了你我愿意热爱生活，热爱整个世界❤️❤️,,,昨天21:58,0
