id,"nick,comment",refer_nick,refer,time,star
188057,洋葱没切直接吃,有个地方 叫做威海 我在哪里生活了四年 最快乐的时光就是去看海 那可能是这辈子最快乐的事了 有一天我在收音机里听到了这首歌那时我只有八岁（现在已经大学了）我就问爸爸这是什么歌 他说这是《大海》那时候没有智能机 爸爸就连夜去网吧把歌下载到了手机里 用一张彩色的卡纸抄下了歌词 现在真的怀念,,,11:22,0
188057,泛响,唱片公司也莫得倒闭，版权还在人家手里，剩下一杯奶茶的钱就能充VIP，不愿意的话您可以不听，但是请您戾气不要那么重,PlayingL0VE,呵，这就是网易的敛财套路吗。原唱97年就走了，你网易现在收费是想攒给你们自己买棺材的钱么,10:57,1
188057,哪嘞个尼尼,纪念刘和珍君,,,02:36,3
188057,是楠木的楠,小时候听不懂这首歌。去年哥哥走了，守夜那晚在车上听到这首歌，才听懂。又是一年清明了,,,01:37,0
188057,休白丶折花,咋突然收费了,,,00:35,1
188057,爱情97图案,迷惑发言，你在逗我吗？宝哥比你毛高一个八度，就大海这首歌，你毛就唱不了,用户538788778,我觉得，如果毛不易更努力，是有可能赶上雨生的,昨天23:30,1
188057,小生姓张名生,我到现在还记得，这是我记忆中我爸唯一唱的一首歌。听到之后觉得好惊艳啊，觉得这首歌里充满了故事。,,,昨天22:25,0
188057,我思-顾我在,网易你赢了我,,,昨天21:10,0
188057,Biubiu181229,听的好想哭,,,昨天20:58,2
188057,晚风如此狂妄,如果大海能够，带走我的矮丑。,,,昨天20:28,0
188057,迷弟哟,QQ音乐和酷狗不是前几年也是不收费 现在都收费？ 难不成你做生意直接把收费直接提到和这个行业的顶端？,余教授教你做人,既然这首歌听歌收费，是因为网易云从华纳买了版权，而我们支持正版，花钱理所当然，那么这首歌在不久之前的几年间都可以免费听，免费下载，这样的操作就很难理解了。难道网易云一直在做慈善吗？,昨天19:48,0
188057,Mourning--------,小沈阳,,,昨天19:05,1
188057,森耳先生1810,加油,雪隐仙踪,"尊敬的所有高三乘客
您好
您所乘坐的2017--2020永不返程号列车
即将到达终点站
请您整理好您所携带的物品
以免遗落
下车前
请记得回头再看一眼
在心里刻下每一个人的脸庞
下车的时候
记得不要掉眼泪
要微笑
记忆里都是互相最美好的模样
给列车上您所认识的每一个人一个拥抱
和他们说句谢谢",昨天17:26,0
188057,森耳先生1810,辛苦了,我癡心誰人懂,经典的歌，赶紧1w吧,昨天17:26,0
188057,森耳先生1810,啊啊不会吧,七七七凉凉凉凉,雨生好像把这首歌卖给别人了吧,昨天17:25,0
188057,森耳先生1810,对头,一節良人,前些时还是免费，现在要vip了,昨天17:25,0
188057,森耳先生1810,现在是2020年，离你评论的时间已经过去五年,深圳点点,独有的声线，清晰的吐词，干净的发音，再也没有雨生这样纯粹的歌手。怀念他。,昨天17:24,0
188057,我叫达达_Han2,"2020年了呀时间过得真快啊
沧海桑田变化真快
虽然我不大但我也喜欢四大天王的时代，喜欢每一位歌手",,,昨天14:55,1
188057,弦尾余音,小时候听，一直纳闷吴公是谁,,,昨天13:18,0
188057,HVMaR__73,1乚一，一区，〉人一讠的我一,枫-叶,还是那种味道。,昨天11:14,0
