id,"nick,comment",refer_nick,refer,time,star
31877077,十年后有谁会记得,好听😊,,,16分钟前,0
31877077,凌之晨-,默哀,WhyBoss,今天是2020.04.04，清明节，全国为战疫情牺牲的烈士默哀。,56分钟前,0
31877077,wuuuujmh,天很快就亮了，春天到来了,,,14:13,1
31877077,WhyBoss,今天是2020.04.04，清明节，全国为战疫情牺牲的烈士默哀。,,,13:53,4
31877077,慢心态1711,那些黑韩红的我不知道它们在想什么，但祖安土著的我想说：什么人什么事都敢黑，妈多？,,,13:49,0
31877077,CHENG-EE,等待烧的纸钱熄灭，很抱歉一年只能看你一次。,,,12:33,2
31877077,1234567_h0K2,好听,,,11:37,0
31877077,AshEnder,医护人员还在奋斗，我们，等着天亮。武汉加油！中国加油！,,,11:11,0
31877077,山子在听歌呢,记不清昨晚的梦了，只记得梦里有这首歌,,,11:09,1
31877077,丶闇绫箩,2020年4月4日，清明节，致敬疫情中负重前行的每一个人，为付出生命的每一个人默哀，愿明天会更好!,,,09:56,0
31877077,CHch999,🕯️,,,09:36,0
31877077,CHch999,R.I.P.,,,09:36,0
31877077,半醉半醒半似疯,民痛-国殇之日。突然想知道韩红最近怎样了？武汉爆出了多少牛鬼神蛇啊,,,09:05,0
31877077,怪咖怪咖蹦擦擦ii,抱抱，加油,飘叶落无鴴,2019.11.21，我母亲因为心源性猝死，五分钟不到，抢救无效，抛下大一的我和六年级的弟弟，听到这首歌，眼泪真的忍不住，这个世界是无情的，是灰暗呢，为什么会降临到我们头上，妈，我想你了！,08:17,0
31877077,稻草人的帽子兄,4月4，全国默哀，再听这首歌，泪，流了下来,,,01:18,5
31877077,忻昸,默哀,,,00:53,0
31877077,今晚找个心,致敬,,,00:27,0
31877077,Pistachios1908,"韩红
喜欢你的真诚
喜欢你的微笑
喜欢你的心善
喜欢你的音乐
喜欢你的歌声
喜欢你的勇敢
喜欢你的故事
喜欢你的足迹
喜欢你的贡献
喜欢你的爱心 一个值得敬佩的明星
人间值得韩红
一个值得追随的人",TfreyMs,之前1月31日写的评论被删了 被官方删了 我不知道我发表的言论怎么了？我说的有错吗 与韩红老师的慈善基金会相比 某某红某会还不够让人寒心吗？？ 网易云 官方 我真的吐了 你们什么时候也成了替别人洗的平台了？我真的很生气 气得不是评论被删 而是我的言论正常 没有危害社会 更没有对不起或者诋毁谁,昨天23:36,0
31877077,菱烟,看这个评论好想哭，抱抱你,拉姆mu,爸爸知道我怕鬼 所以他走后从来没来过我梦里、,昨天23:35,1
31877077,我永远喜欢贝尔法斯特,无别话，加油吧,情深似海c,08年父亲离家出走，毫无音讯现在我要成家了，我看着很多朋友都有父亲为儿子的婚事忙活，我好难过，买房子全凭自己，借钱我要受人气。我要看人脸。现如今你的背影在我脑海里越来越模糊。你答应我回家给我买的吃的我至今没有吃到过。回来吧，你五十了，你回来吧，让儿子尽尽孝，和儿子唠唠嗑。好想你。,昨天20:23,0
