id,nick,comment,refer_nick,refer,time,star
30841111,回忆是个兔子洞,此生最爱的你，离开我三年多了，可是给我留下了两个宝贝，儿子就是我的小暖男，三岁多会自己洗脚，洗袜子了。很遗憾，你没来及等到他出生。每年我都有两天是最难过的，心像被掏空了。可是，不管怎样，我得好好活着，我想这也是你想看到的，命运不能扼住我的喉咙，我要绝处逢生！余生，定会好好生活！,,,10:33,0
30841111,琴情琴情,我的爱人，你已走了六年了，我们很想你，如果你还在就好了,,,07:59,0
30841111,噗噬,AN,,,00:23,0
30841111,噗噬,我爱你,,,00:22,0
30841111,元知君知元,有一种歌曲可以令人堕入无尽的颓靡。,,,00:17,0
30841111,鼠宝鼠宝,你不是一个人,噢英雄,听成了妈的我都认了。。,昨天21:10,0
30841111,心里有片海179,5年前很喜欢的一首歌，再回首，歌词依旧深入人心，歌声依旧动人心弦。一首歌，一份情，一段回忆，不可追，不可追～,,,昨天16:09,2
30841111,MackDaddy_22,墓碑上的照片 就用和你在一起时的那些吧 消失的那五年不提也罢,,,昨天01:08,1
30841111,MackDaddy_22,现在，我也不知道该爱谁。,,,昨天01:05,1
30841111,MackDaddy_22,我好想你啊,,,昨天01:05,1
30841111,-添馬行空-,六年级的即将毕业之际，疯狂在复习中，而旁边的收音机📻响起这首歌，感觉一块石头压在心头，说不出的感觉,,,昨天00:38,0
30841111,a潘漂亮,原来已经五年了,,,4月2日 22:42,1
30841111,余生省略Z,如果你还在我想我们这会儿应该........我也不知道到底在干嘛！可能我们在逛街可能我在家里躺在床上等着你下班，和你视频通话，可能我正开着车去宜昌找你的路上，可能我们在江边散步，可能我们正在一起缠绵，可能我在你们店门口等着你下班，可能.........如果 也没有如果啊！哎..........不说了接着听,,,4月2日 21:23,0
30841111,Ian木子,有没有觉得前奏很像《Mutuality In Life》的,,,4月1日 19:02,0
30841111,Ian木子,你有毒,噢英雄,听成了妈的我都认了。。,4月1日 18:49,0
30841111,RealScreAmrR,因为她喜欢，因为是我推给她的，因为我们早就分开了，因为。。从她放不下我。到现在，该我了,,,4月1日 03:58,0
30841111,xiiaoxue,也给我的爸爸多放点糖，他这辈子也很辛苦，都还没开始享福就离开了。,三十岁再相遇吧,孟婆，如果你遇见我爸爸了，记得给他的汤多放点糖， 他一生辛苦 ，希望这最后一碗汤能是很甜很甜的，最后告诉他，儿子很想他,3月31日 23:51,1
30841111,时光荏苒-刹那芳华,美妙的旋律,,,3月31日 21:48,1
30841111,猫便便拌橙汁,啊啊啊我记得那时候他说他还有恐高,艾艾艾艾_akeda,从天天向上滚来的 ，喜欢信的不卑不亢,3月31日 19:00,0
30841111,曾经的乌托邦,像我这样的人。貌似不适合结婚更不适合谈恋爱。我的情绪暴躁忽起忽落。多愁善感，揣摩对方的心理。会臆想未发生的事。对待男朋友任性的要命的我，可能更适合自己一个人。最近很消极。不想努力[悲伤]可能真的是我太事了吧[微笑] ,,,3月31日 16:52,1
30841111,我缺点如繁星,妈已经离开快四年了。昨天我还梦到她 每次半夜醒来都觉得好不真实 她真的走了啊 可我怎么觉得她还离我那么近 我梦到她几百次 我长大了好多 我赚钱了 会做很多菜了 … 可是她都看不到了 想到这首歌 来听听 没想到看到这样的评论 又哭到不行,iDamon,今天爸爸结婚，我又有“妈妈”了，如果你还在就好了，妈妈。今天硕士毕业答辩结束，我毕业了，如果你还在就好了，妈妈。今天媳妇嫌礼金少，我生气了，如果你还在就好了，妈妈。失去妈妈是让人成熟最快的方法，可是我也不想长大啊，如果你还在就好了，妈妈。,3月31日 14:28,0
30841111,敲代码的宋三岁,你不是一个人,噢英雄,听成了妈的我都认了。。,3月31日 09:08,0
30841111,BabyYY_05,哈哈哈哈哈,MADTASTY,这首歌15年出的，12年你就听了，你穿越了吗?,3月31日 01:23,0
