id,"nick,comment",refer_nick,refer,time,star
26075398,挽心心心心心,"爷爷走了后的第一个清明
去年的清明他还能去退休苑",,,11:31,0
26075398,全糖四季奶青,爸爸也要想我,,,09:47,0
26075398,gtmjgam,今天是清明节，你刚离开的那一年，我几乎每个夜伴着眼泪入睡，而你对我的期待成为我坚持下去的动力。这是第二年了，为了更好的生活下去，我也慢慢不再去沉浸在悲痛之中。可是思念如马，自别离，未停蹄。听着这首歌延伸出我们之间种种回忆，真的崩不住了。妈我真的好想你,,,03:51,1
26075398,厮磨以华,生活很苦，我们要加油喔,,,昨天18:55,0
26075398,Secretstar,无论如何自己也要爱自己💪,柿子和柿饼子,我的妈妈抛弃我了，我不记得最后一次见她是什么时候，也不记得她是什么时候离开的这个家，我爸就像青峰说的，从来没夸过我，也很少讲话，也不知道和他应该说什么，我其实也分不清他是不是爱我，有些话，说出来，感觉轻松了一些,昨天17:30,0
26075398,一余Yu,超喜欢“这时候，我们的心变得柔软” 心都软了啊,,,4月2日 19:41,0
26075398,咔咔峰的样子,5分20秒，青峰无论做什么都很用心呀,,,3月31日 22:07,1
26075398,阳叫兽0421,每次听 都想起我的爸爸… 好久不见啊爸爸 你好吗👋,,,3月31日 20:17,1
26075398,追青小倩,我和我爸就是这样，现在也还没说出彼此的真心话，等到最后还是会后悔吧，尽管嘴巴说出的话再硬。,,,3月30日 02:22,3
26075398,李猜猜lcc,左眼里似乎掉进了什么东西，大概是睫毛，用手揉了下未果，想到又不卫生，就想，不如流出点眼泪冲刷出来，那么怎么让自己流泪呢，听青峰的《小时候》啊，在那个副歌留下颤音的地方。,,,3月27日 23:23,1
26075398,Jagger_fancy,他离开了。我不会再绝望 了吧。,Jagger_fancy,我不过是想要一句你的肯定啊，哪怕一句，那我这些年所有绝望的眼泪都不苦涩。你讨厌爱哭的小孩，所以我在房间抽纸都不敢太大声……,3月27日 01:03,1
26075398,柿子和柿饼子,我的妈妈抛弃我了，我不记得最后一次见她是什么时候，也不记得她是什么时候离开的这个家，我爸就像青峰说的，从来没夸过我，也很少讲话，也不知道和他应该说什么，我其实也分不清他是不是爱我，有些话，说出来，感觉轻松了一些,,,3月26日 11:09,5
26075398,我梦见你有梦见我,这个世界太难太苦了，希望生活也希望我可以努力，让父母过上好的生活，也可以做自己想做的事，我真的很想感谢他们,,,3月26日 02:11,2
26075398,Jagger_fancy,我不过是想要一句你的肯定啊，哪怕一句，那我这些年所有绝望的眼泪都不苦涩。你讨厌爱哭的小孩，所以我在房间抽纸都不敢太大声……,,,3月24日 21:41,2
26075398,Luna0830,晚上男朋友跟我说他去世的爸爸，回来听这首歌，看到这条瞬间泪目我好心疼他啊,苹果味的蚂蚁酱,再过几年，我就要比我爸大了,3月23日 22:56,0
26075398,呼呼大睡的豆豆,好感人喔，想哭,,,3月23日 17:45,1
26075398,本命4苏打绿wei,青峰的声音是可以穿透人心的美好，将被撕扯的心一点点的缝合，然后用他的温柔来安慰你。💚💚💚💚💚💚,,,3月23日 17:38,2
26075398,老诗魂,人去世后，年龄就不再变大了,MF没风,什么意思？,3月23日 16:12,0
26075398,雪晨PNO,现在听上海彩虹合唱团的人以前应该也很喜欢苏打绿吧。,,,3月23日 08:31,2
26075398,亲爱的薛西佛斯y,你...要加油哦😭😭😭😭,,,3月22日 22:38,0
