id,"nick,comment",refer_nick,refer,time,star
5279559,海蓝云天-,照见五蕴皆空，度一切苦厄。,,,3月28日 16:37,3
5279559,一弦九品,诸行无常，是生灭法。物质与精神皆为色相，于刹那间生灭，未曾断绝，因此色本性空色即是空。虽性空，然有缘起，当下即是。所以空即是色。,豚彳亍,"色不异空(你所看见的物质世界其实是你的精神世界)
空不异色(你的精神世界也就是你以为的物质世界)
色即是空(物质世界就是精神世界)
空即是色(精神世界就是物质世界)
受想行识亦复如是(人类所谓的感受、思想、行为和认识也是如此)",3月28日 00:20,0
5279559,一弦九品,空是色之体，色为空之用,豚彳亍,"色不异空(你所看见的物质世界其实是你的精神世界)
空不异色(你的精神世界也就是你以为的物质世界)
色即是空(物质世界就是精神世界)
空即是色(精神世界就是物质世界)
受想行识亦复如是(人类所谓的感受、思想、行为和认识也是如此)",3月28日 00:14,0
5279559,qiqiyuer,真好,,,3月26日 09:07,0
5279559,Iris婵,“学佛首要的是先学好做人”——南怀瑾大师有言,,,3月25日 07:22,1
5279559,heluv,那也只是人家的想法 讨不讨厌就这么重要吗,Nelbon,领悟这么多，就不会少bb？,3月22日 08:00,0
5279559,加油呦你,求放过自己,,,3月20日 09:39,0
5279559,sssssssrj,奶奶要好起来！,,,3月18日 14:50,0
5279559,太固执所以也痛苦得很可爱-,国语版空灵才是真的超脱，这版总感觉世俗。,豹豹豹豹子,感觉王菲单唱的国语版更好,3月17日 13:06,1
5279559,_去日苦多,诸法空相，随缘不变，善恶由心，自持空性。,,,3月13日 21:51,0
5279559,张小泱哦,我们总是跪下来，然后不自觉地为自己祈求很多东西。当有一天，我们跪下来，不再祈求，而是发自内心希望菩萨平安健康，那我们就真的远离颠倒梦想究竟涅槃了。,,,3月12日 11:44,1
5279559,Jase-l,心经谁有啊，小伙伴们，求私,,,3月7日 17:03,1
5279559,长风万里对秋雁,这个是早期的。还有一个09年法门寺佛指舍利合成大典的彩排现场，第二天大雨所以取消了演出,,,3月7日 10:29,0
5279559,西东茫茫,牛,Nelbon,领悟这么多，就不会少bb？,3月5日 12:40,0
5279559,西西听耳朵,[多多大哭][多多大哭]好眠,,,3月2日 01:18,1
5279559,Eustoma-L,今年的生日愿望顺利上岸，平安喜乐,,,2月27日 22:50,0
5279559,蔬果Sugo,太好听了！,,,2月27日 05:23,0
5279559,毛毛云-,观自在菩萨,,,2月24日 13:29,0
5279559,其实是苏先生_,阿菲音色真的好美啊,,,2月16日 23:15,3
5279559,kris_aArt,,,,2月11日 17:10,0
