id,"nick,comment",refer_nick,refer,time,star
326880,诶___我歌词呢,以前叫张惠妹，现在叫弓长惠女未,,,14:02,0
326880,955yjj,当兵不要捡肥皂,旧时萤火,掉了 你肥皂掉了,昨天10:55,1
326880,丨苹果姐姐,害 都是大学的时候玩炫舞的回忆啊,,,昨天09:34,0
326880,卡卡魔鬼,回忆是最可怕的敌人！,,,昨天03:13,0
326880,Maria-Elena,确实有人叫苏打绿为苏先生,xfwily,我一直以为苏打绿是一个人😂,昨天02:57,1
326880,Weakerthans,掉了究竟是什么意思呐，什么叫故事情节掉了，我不懂诶,,,4月2日 23:46,0
326880,NIC_IK,猝不及防要会员！,,,4月1日 17:50,1
326880,择一妹妹,放过我,,,3月31日 23:40,0
326880,SuYT1218,不必念旧 每一段时光里的自己都值得被爱每一段未来也都值得期待,,,3月30日 14:44,2
326880,gjdybfjv,心痛的感觉,,,3月29日 23:51,0
326880,gjdybfjv,特别难过 回忆请你放过我好吗,,,3月29日 23:38,0
326880,gjdybfjv,听到这首歌 还是泪流满面 想回大学看看,,,3月29日 23:37,0
326880,豌豆公主本豆,我现在搞完行动坐在车上，电台在放,,,3月27日 11:25,1
326880,chris_alone,太真实的词了吧，真是源于生活哈哈哈哈哈哈哈,岛罐头乀,AD他也掉了，中单他也掉了，就连我家健硕的打野也掉了，屏幕没有颜色，复活时间长亘，网速是最可怕的敌人。,3月26日 14:23,0
326880,王宇直不矗,可以收广告费！有流量就有收入,52Hz_GodLoveMe,做音乐不要钱惹,3月25日 22:06,0
326880,52Hz_GodLoveMe,做音乐不要钱惹,王宇直不矗,为啥要会员惹？！！！,3月25日 20:09,0
326880,52Hz_GodLoveMe,青峰写词真的可以和林夕媲美…这首旋律也超优。,,,3月25日 13:55,0
326880,潇煕,我看哭了,箜篌葡萄,一个很没用。会唱歌把自己唱哭的人。他会写很多超棒的词曲。他的声线稳到可以一边拭泪一边live。他唱的歌你无需刻意，因为那是心底的旋律。喧嚣世界中永远的一丝宁静。哦对了，他来自一个组合，叫苏打绿。,3月25日 13:17,1
326880,爱羊羊羊的熊猫,带我走,,,3月24日 03:53,0
326880,Oren_W,上网课时的我：,,,3月23日 22:55,0
