id,"nick,comment",refer_nick,refer,time,star
509726632,梦月HopE,,,,14:49,0
509726632,裂帛Leabour,再闻已是曲中人,,,09:52,1
509726632,主公无名,忘了是去年还是前年，正月一家三口坐在家里看春晚回放，在我旁边的父亲正好听到这首歌，他对我母亲说，我们都还没好好看这个世界，就已经眼睛看不清楚了，那时坐在旁边的我低头湿了眼眸。,,,09:49,0
509726632,主公无名,多抽时间回家陪陪他们,YJJPaOPA0,"爸妈只会简单地操作电脑，
我在另一个城市上班，忙的发昏，很少回去。
所以就在电脑上弄了个360，
他们也不会杀毒，
每次我回去，体检一下电脑，升一下级。
昨天老妈打电话 ：儿子啊，360已经提示187天没有体检了………
顿时，泪流满面。",09:46,0
509726632,vakeser,初闻不知曲中意,,,01:01,1
509726632,能被鸡腿治愈的女孩,爸妈是把我们与死亡阻挡开来的唯一一道屏障，如果爸妈不在了那么我们就是直面死亡了，我们早点懂事最好，多孝敬父母，这样永远可以当小孩子，因为爸妈在。,,,00:00,0
509726632,海北昕辰,"多年时 仲春午后南街
朗风微雨 新土月枝
陌尔炊烟 四方耕食 多年时 季夏晚晖北巷
和风润雨 暖窗晓花
细犬逐蝶 稚儿擎瓜 多年时 孟秋早霜西径
凄风冽雨 硕华露藏
皓月傍夕 猫吟蟋唱 多年时 暮冬夜雪东亭
凌风穆雪 灯黄影瘦
一蔬一饭 低堂晚候 多年时 阡陌依旧 四辰交错
只道繁荣楼夏街碎旧巷亦人间",,,昨天23:18,1
509726632,零零一一贰八,姥爷，我好想你,,,昨天22:57,0
509726632,下站幸福520,可能每个人想法不一样吧！,不醇的清茶,不呀，只是说不一定需要伴侣而已，看了看我周围的人，感觉都在被束缚 我不喜，可能是我天生喜欢自由吧,昨天22:13,0
509726632,落声的小粉丝,谁是原唱,,,昨天19:06,0
509726632,颜伊舞,时不待人，从前慢，声声催人老,,,昨天19:04,0
509726632,玛丽莲梦-六,姚思颖点歌,,,昨天18:58,0
509726632,_零零七-,长大的自己，在他乡，听着这首歌，内心好不容易砌起的墙在这一刻就瓦解了,,,昨天17:17,0
509726632,hjkioplu,[多多大哭][多多大哭],,,昨天11:00,0
509726632,躲在屋头吃瓜的大爷,妈妈说，妈妈没有爸爸了,,,昨天09:01,0
509726632,遨漫兮,云朋友，你考上了吗？考上了吗？考上了吗？不过我想你也应该感谢你身边鼓励你的朋友和亲人，不论是否考上，加油！奥利给！[多多耍酷],途匕,每天两点睡觉，偶尔早点，早上六点起床，中午午休半个小时，吃饭两个小时，洗漱半个小时，剩下的时间，学习十五个小时，发呆一个小时，想念张信哲一个小时。张信哲，谢谢你，你是我考研路上最大的精神支撑，如果考上了，我就告诉全世界，这一切都是因为我爱张信哲，未来优秀的我，全是因为张信哲。,4月2日 18:16,1
509726632,北方闪耀的狼,我14了 从出生到现在一眨眼就过去了 时间你能慢点走么我不想让爸爸妈妈变老,,,4月2日 17:39,2
509726632,殇璃_vGOb,有的东西记忆既已失去，就不配再拥有了，如我的年华。所以我们要珍惜现在所拥有的一切，不要让我们的未来留下遗憾。,,,4月2日 10:26,1
509726632,樱夏琉璃_祭司,还记得当初听这首歌的时候，哭的泪流满面的，很心酸啊！,,,4月1日 21:47,2
509726632,春氲苏柳描云路,8💊命🌶️？,innocence152,时间不是都给他了吗,4月1日 21:21,2
