id,"nick,comment",refer_nick,refer,time,star
32957012,有种爱叫曾经,"😭😭感谢你们的付出
🕯️🕯️🕯️🕯️",,,10分钟前,1
32957012,___山南,北方的景，是干练刚韧的美。虽如此，一点柔情也不少。,谪仙不悔,为什么几乎所有古风歌歌词都要用江南景色做背景，往大了说就是中国南方。北方很少被描绘，像大漠，边塞，草原，孤城，狼烟，浊酒，雕弓，上弦月都在等待被重新赋予生命。,11分钟前,0
32957012,北匿1710,哈哈哈哈哈那也不是古风歌曲呀,竹杖芒鞋与烟雨相拥,凤凰传奇了解一下,11分钟前,0
32957012,阿秦小妖精,又是一年杏花微雨,,,14分钟前,1
32957012,2536HZ,南方也有人为了家国啊，无语,长逝君怀,自古北方出圣人南方出文人，或许南方更多了一分风月，北方更多了一分家国。,19分钟前,0
32957012,黎明卑草,加油，相信你可以的!,乔bubu,这首歌小学四年级时候第一次听，那时候觉得意境很美，才子佳人谱一首爱恨别离的柔美小调。现在已经初三啦，好久没有听这首歌，现在又有一种岁月静好的感觉。祝我中考加油，考上自己理想的高中，！！！,29分钟前,1
32957012,吃柚子的小然,入坑曲。,,,30分钟前,0
32957012,怀灼,可以去听听忘川风华录，人声翻唱的,谪仙不悔,为什么几乎所有古风歌歌词都要用江南景色做背景，往大了说就是中国南方。北方很少被描绘，像大漠，边塞，草原，孤城，狼烟，浊酒，雕弓，上弦月都在等待被重新赋予生命。,30分钟前,0
32957012,派大凶,望好。,,,36分钟前,0
32957012,YGSINF,我也是,宇哥丶抽烟经常烫到手,尼玛。。。 我只是想听听音乐，网易这事要干嘛。。我不想每天晚上熬夜就为了玩个音乐软件。。。,38分钟前,0
32957012,YGSINF,可能是这些一向比较粗犷，不好唱吧。感觉古风就是那种温温柔柔的样子,谪仙不悔,为什么几乎所有古风歌歌词都要用江南景色做背景，往大了说就是中国南方。北方很少被描绘，像大漠，边塞，草原，孤城，狼烟，浊酒，雕弓，上弦月都在等待被重新赋予生命。,38分钟前,0
32957012,罪-恶,不知你现在怎样了,Psychology-Mouse,14年大学毕业，考研落榜，离校的时候直接拖着行李箱跑到青岛找了工作，每天上班到晚上十点，很累，做最后一班公交车回住的地方，坐在最后一排靠窗的位置上，任由清冷的海风吹乱头发，插着耳机单曲循环《杏花弦外雨》，直到黑暗的尽头…16年，毕业两年，我在哈尔滨读研一，再听这曲旋律，潸然泪下…,40分钟前,0
32957012,丢掉这个世界又如何,,,,40分钟前,0
32957012,绝望加烟等于孤独丶,春天到了，你们却化作春雨继续护佑我中华大地。向你们致敬，向英雄致敬！—2022.4.4,,,40分钟前,3
32957012,冰720,无尽的思念，无尽的等待，你可觉的这清澈的岁月之流，是变成透明欢快的小溪.........,,,51分钟前,0
32957012,可乐老好喝了,“哪有什么岁月静好，不过是有人替你负重前行。”致敬,,,55分钟前,3
32957012,一颗小栗子o_,"2020. 4. 4. 清明节，全国默哀🕯️…
向牺牲在一线奋战的医护人员、牺牲在大火的消防人员致敬！",,,57分钟前,4
32957012,都被占用那就不取了,一路走好 今年的春天格外好哭,,,15:21,4
32957012,丘曳,江南太婉转，是几笔墨意可以勾勒的温柔相思；而朔北是苍凉，是烽火连天血染沙场，是战鼓擂擂洒尽江河也道不完的雄壮磅礴,谪仙不悔,为什么几乎所有古风歌歌词都要用江南景色做背景，往大了说就是中国南方。北方很少被描绘，像大漠，边塞，草原，孤城，狼烟，浊酒，雕弓，上弦月都在等待被重新赋予生命。,15:21,0
32957012,泡泡柚er,杏花大多数落了，只有少数残败的还留在上面，清明已至，又逢烟雨。不见祭拜的人儿，未闻泣声，只有这一方蓝天与春意。奋斗在前方的医护人员们，愿你们平安喜乐，万事顺遂。一切都会好起来的。,,,15:13,6
