id,"nick,comment",refer_nick,refer,time,star
209311,CHENG-EE,正在等待烧的纸钱熄灭…,,,12:28,0
209311,初雪swag,抱抱你 他一定希望你好好长大,风月旧情,20岁，我没有爸爸了，因为疫情，后事从简，爸爸就是不爱麻烦人，连走都是。,11:22,0
209311,企鹅Pen2,朋友的外婆和祖父接连去世 我不知道怎么安慰他 难过,,,08:24,0
209311,未名之风,听到开头的旋律就知道是我喜欢的。打开手机一看，这首歌我曾经听过很多次，却不知道是什么时候。这种失而复得的感受，真好！,,,04:41,0
209311,Amadeus_L,姥爷 在天堂好好享福,,,00:24,0
209311,半句再见h,送给哥哥和老妈,,,昨天00:28,0
209311,二月三十---,家里似乎什么都没变 却又什么都变了 只留下我满心的遗憾与愧疚 终于明白什么叫做睹物思人 看着有关你的物品 眼前一片模糊 很庆幸你能留下一瓶药 还是那年的 熟悉的味道啊 真的像你回来了一般 记忆中的气味渐渐清晰 会聚在在鼻前久久不散 五年了 最近每天都在想你 回想着你在的日子 是我最亲爱的姥姥啊,,,4月1日 22:12,2
209311,猫咪风呼呼,前几秒我以为切到了滑板鞋,,,3月31日 09:07,0
209311,酷酷的邱,想念您 我的爷爷。,,,3月30日 12:49,0
209311,我亦飄零久170718,初中上完体育课的一根冰棍、一根雪糕，按时按点的为我和姐姐做饭，考上高中时的第一个报喜电话……就在四天前，我的妈妈没有了妈妈，我没有了外婆。能送外婆最后一程，愚孙也算尽孝了。天堂没有痛苦，外婆走好！,,,3月30日 12:08,0
209311,80s宇宙漫遊者,再见石主任,,,3月27日 19:16,0
209311,TwinkleSong-,刘真老师一路走好，在天堂继续跳舞吧！🙏🏻🙏🏻,,,3月23日 11:10,2
209311,LJJ033,这首歌是作者写给已经死去的亲人的纪念,,,3月22日 07:35,0
209311,追梦格林123,节哀 好好活着,风月旧情,20岁，我没有爸爸了，因为疫情，后事从简，爸爸就是不爱麻烦人，连走都是。,3月19日 00:32,0
209311,丑态的自画像,爸爸走后两年奶奶也走了，他们的东西，房间，都被收拾的干干净净 甚至一点东西都不留。,,,3月17日 17:49,1
209311,喜欢黑色的黑色幽默,每次听到这首歌 我就泪目 脑海里浮现关于奶奶的回忆,,,3月14日 10:12,0
209311,金提莫_,"如果每个人都是一颗小星球，逝去的亲友就是身边的暗物质。我愿能再见你，我知我再见不到你，但你的引力还在。我感激我们的光辉，曾彼此重叠，而你永远改变了我的星轨。纵使再不能相见，你仍是我所在的星系未曾分崩离析的原因，
是我宇宙之网永恒的组成。 ",,,3月13日 22:42,0
209311,W_S_G_T_,今天是您走后的第3个月零12天，我有太多话没来得及跟您说,,,3月12日 02:20,1
209311,卖古董的老爷爷,这首歌和《离心力》有着一样的味道~,,,3月11日 12:49,2
209311,凉山凉凉,来不及了太晚了错过了,,,3月10日 20:39,0
