id,"nick,comment",refer_nick,refer,time,star
66282,氵瀚桭,这个楼层可能不是nc就是黑子，假粉扎堆,咸菜大咸菜,听完花花的瞎叫来这里洗耳朵👂,5分钟前,0
66282,墨执笔,其实我也可以的,最喜欢reol了,突然想听医生的歌了，有一起听的吗？,30分钟前,0
66282,临SUN,可我还是感觉治愈,明初了liao,陈奕迅的大部分歌听懂了都不会觉得治愈 用最认真最平静的方式 让你去怀旧想你失败的感情 想你失去的朋友 想你错过的时间 想你心里的朱砂痣蚊子血 想你想要抓住却放开的人 把你所想但不敢说的唱出去 你想见又选择怀缅 想选择的人不是陪你的人 反正 唱到你红了眼很喜欢浮夸 很喜欢Eason,15:19,0
66282,王老板买尻,确实是瞎叫,东北老et,不爱请别伤害好吗？,14:55,0
66282,阿z呀_,一千个读者有一千个哈姆雷特，不要瞎解读、过度解读吧。,米小虎,这首歌现在已经抹上了浓重的政治色彩,14:41,1
66282,xhk许,招网拍麻豆，欢迎爱拍照的你呀❤️,,,14:38,0
66282,慕荣i-Leslie,这里面的一句歌词。,宋相思_,青筋也现行什么意思啊,14:35,0
66282,lzxzz_ikPR,为英雄致敬，为逝者默哀，为生者祈福，愿山河无恙，祖国昌盛,,,14:32,0
66282,大炮发射泡泡,来，把我八十米的大宝剑拿出来给秀儿削个苹果🍎,终南山悟道男孩,她是班花，有一天她突然走过来喂我吃了一块奥利奥，我吃了下去，她惊讶的对我说，奥利奥中间是牙膏。我却深情的说，因为是你给的。那天阳光照在她脸上，她的脸很红，我打的,13:50,1
66282,killerStarriverSailor,有人问我 我就会讲 但是无人来，从期待 到无奈 有话要讲 得不到装载，我的心情犹像樽盖 等被揭开，嘴巴却在养青苔，人潮内 愈文静 愈变得 不受理睬。,,,13:45,2
66282,踏星_Neol,你是我的春风得意，我的满心欢喜,,,12:32,1
66282,戹齾,来了,宇宙第一的白,游戏停了就来最喜欢的歌转一圈,11:57,1
66282,宇宙第一的白,游戏停了就来最喜欢的歌转一圈,,,11:51,4
66282,Jkopspl,你说的这句话有逻辑吗？自己品,浅雨南风,演唱不投入能叫演唱吗？音乐本来就是很直观的东西，懂的自然会懂。[多多耍酷],11:46,1
66282,Jkopspl,说实话就是伤害？那你们岂不是生活在伤心太平洋？,东北老et,不爱请别伤害好吗？,11:45,0
66282,木兮子sf,但凡米，何醉此,墨者行,一一那年，白宫晚宴，坐着被群嘲 那时候，我沉默地发誓，在场诸位都要正视我 在美国，平凡而又普通的路太多 大厦我又该住哪一座 工作中，生活中，受过的欺辱太多 自尊已饱经跌堕，惟亿万身家能短暂安慰我 未曾获得过便知我为何，大动作很多 争江山，夺社稷，博人们看看我，算病态吗？,11:33,1
66282,17318274660,喜欢安静却讨厌孤独,,,11:20,2
66282,十四wangzi,我也是看成奥力给了,xe人,看错奥力给，厚葬友军,09:57,0
66282,-你个小妖怪-,不是让你无聊至极，是让你活的明白,acyna,今天相当无聊,09:37,7
66282,J先生好,小孩子都懂的道理，为什么长大后就不懂了呢？,宇宙浪漫宇航员,"上班路上听到一个妈妈和小朋友的对话
“你要乖一点老师同学才会喜欢你哦。”
“那他们是喜欢我乖，不是喜欢我，我奶奶说了，我就是本来的样子也喜欢我的人才是真的喜欢。”",09:34,1
