id,"nick,comment",refer_nick,refer,time,star
469545781,不如和我一起1虚度时光1,今天清明节，看了看灰色的一大堆歌单，我觉得还是躺在我歌单里这一首最适合，燃一支烟，最好不过了,,,刚刚,0
469545781,许多姐姐123,R.I.P,,,1分钟前,0
469545781,三更时_,哎,,,4分钟前,1
469545781,是文慧吖_y,希望我爱的人和爱我的人平安幸福。,,,4分钟前,1
469545781,Ceciliaoy,愿2020一切安好,,,4分钟前,2
469545781,希望许同学永远开心,我对不起她，她对我应该是很失望吧，或者对这个世界没有一点念想，连死后，都不愿留下一处墓地让人探亲，化为骨灰，成为大地。,,,5分钟前,1
469545781,前朝的遗少,在不一样的人生阶段又不一样的感受吧。当然我希望谁都能永远心里有光的。,第七号公馆200121,噗呲，人均抑郁？,5分钟前,0
469545781,檀木匣盒,"2020-04-04
逝者已矣，愿生者安康",,,5分钟前,1
469545781,叫我丢丢就好了,不论怎么样，她一定都希望你会很开心很幸福的走下去,艺宁angel,今天是外婆去世的第114天 从小被外婆带大 晚上想她想到哭 后悔怎么没有好好的陪陪她 再也吃不到她做的饭 听不到她的叮嘱了 她去世的时候记忆衰退 谁都记不起 但是去世的前几个小时却拉着我的手一直哭 那几天 眼睛肿的不成样子 最近晚上做梦也只梦到她几回 ... 您还好吗,6分钟前,0
469545781,-Nnneedle,生而为人真的好难 诸多羁绊 诸多考验 当然也有诸多快乐,,,6分钟前,1
469545781,阿狸阿拉蕾喵,2020-04-04,,,6分钟前,2
469545781,彭瑞斯,环绕立体声？,,,6分钟前,0
469545781,Rania-奶婷,今年的清明，没有下雨,,,7分钟前,5
469545781,前朝的遗少,配上我的背景，我以为这是晚安。哈哈,醉酒只候深情z,ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀🌙｀ヽヽ｀ヽ、ヽ｀ヽ｀、ヽ｀｀、ヽ 、｀｀、 ｀、ヽ｀ 、｀ ヽ｀ヽ、ヽ ｀、ヽ｀｀、ヽ、｀｀、｀、ヽ｀｀、 、ヽヽ｀、｀、、ヽヽ、｀｀、 、 ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀｀ヽ、｀｀ヽ｀、、🚶｀ヽ｀、,7分钟前,0
469545781,要变成像我们学霸那样的人,抱抱你，加油,超级喜欢长谷部的席妄,"一年之前我喜欢上了这首歌。
今天早上父亲离开了。
现在，也是这样的雨。",8分钟前,0
469545781,柴前,,,,8分钟前,1
469545781,前朝的遗少,逝者已逝，生者往矣,西格太郎,"在失踪了两天后，你在期末考试的前一天晚上，跳河了。 我无法想象那两天你是怎么过的，冬天的河水这么冷，你怎么能沉睡在这种地方呢？
对不起，真的对不起，作为一个学校的同学，没能在你极度抑郁的时期
拉你一把，成为了我过去整整一年中最大的遗憾。
对不起。
再见。
愿你来世无所畏惧，明媚无忧。",9分钟前,0
469545781,前朝的遗少,有人说，哭着来是因为要受人间的罪的；笑着走是因为人间罪也不过如此。,食言而肥的Lamronba,"我们哭着来到这个世界，周围的人都在笑
我们笑着离开这个世界 ，周围的人都在哭",9分钟前,1
469545781,张佳乐第一赛高,哪有什么岁月静好，只不过是有人在替我们负重前行，致敬。,,,10分钟前,4
469545781,一只兔兔叽叽叽,感恩前行，哀悼……,,,11分钟前,1
