id,"nick,comment",refer_nick,refer,time,star
167882,乔妹子与娟子,小刘听的歌，现在大一了，又是一年清明时节…,年轻的记忆,高一听的歌，现在都大三了，时间好快,刚刚,0
167882,latearlier,真是越长大越喜欢听许嵩的歌,,,刚刚,1
167882,-黑猫赛高,愿另一个世界也是春暖花开,,,刚刚,1
167882,深晴1,祖国离不开战士，素人也离不开亲人，希望祖国一切都好,,,刚刚,0
167882,Leslie丶H,94年的我，今日再听，感慨万千🕯️,,,刚刚,0
167882,MickeyWinnie,一定会好，致敬你，辛苦了,新长征路上的-摇滚,那年刚听这歌的时候我奶奶外婆还健在，如今她们都已驾鹤西去，最大的遗憾是因为驻守在祖国的西南边陲二位最疼我的老人离世时我都在执行任务，我都没能赶会去见最后一面，送上最后一程。奶奶，外婆，又是清明节了，我再也吃不到你们做的清明果，喝不到你们采的清明茶了，你们在那边还好吗？,刚刚,0
167882,_-不羡仙-_,山河无恙，只因有你,,,刚刚,0
167882,performer12a,哀悼清明,,,刚刚,0
167882,Asuna190327,又是一年清明,,,刚刚,0
167882,你好漂亮ovo,"所有服务器停止运营
有的人失去了一天的乐趣
有的人失去了一个春天
有的人失去了一辈子
致敬",,,刚刚,1
167882,Jasminy333,游戏戒掉，高考冲鸭！,夜里偷亲你一口,今天放假 上了这么久网课 加上全国哀悼 感谢哀悼不能让我打王者和吃鸡 我还和家里人去祭祖 现在睡了个午觉起来 在书桌上写着生物作业想着马上就要高考了 感觉这种感觉好舒服啊,刚刚,0
167882,追风少女可爱多,三千多个家庭失去了挚爱，他们或为人父母，或为人子女，不敢想那些人的悲伤有多深😔,,,刚刚,1
167882,花京院_典明,不是烂诗啊👍👍👍,诗人樵夫,记得我初二数学课为许嵩写的第一首诗是：“缠绵细雨渡江人，宿敌恩怨谁来分。江南才子汝若问，清明雨上一曲魂”。现在四年过去了，我快高三毕业了，还是爱写一篇篇烂诗，而许嵩已经大红大紫了。,刚刚,0
167882,黄优雅_,爸爸和我说，他在回老家祭祖的路上捡了两次钱，他说这大概是奶奶给的吧。你说，人死后灵魂应该一直在的吧,,,刚刚,1
167882,昵称不会轻易狗带,上午到现在评论加了3W，太恐怖了,,,刚刚,0
167882,鄺生-,家国永念,,,刚刚,1
167882,暗系小妖王,又是清明雨上，折菊寄到你身旁。,,,刚刚,0
167882,工藤阿超,初一听的，现在都大学毕业三年了,这是一个昵称12138,真的我也是,刚刚,0
167882,星星不睡觉噢,"又是清明雨上
折菊寄到你身旁",,,刚刚,0
167882,在野YR,岁岁清明 今又清明,,,刚刚,0
167882,工藤阿超,初一听的，现在都大学毕业三年了,这是一个昵称12138,真的我也是,刚刚,0
167882,星星不睡觉噢,"又是清明雨上
折菊寄到你身旁",,,刚刚,0
167882,在野YR,岁岁清明 今又清明,,,刚刚,0
167882,夕时有雨,2020.4.4 16:00,,,刚刚,0
167882,阿秦小妖精,2020.4.4 你走后我才知道什么是思念,,,刚刚,0
167882,巧克力的秘密_,不知不觉过了多少年，熟悉的声音。,,,刚刚,0
167882,筌煜,完蛋小时候我姐听我也就跟着听了真的好听啊现在才上初中啊,Mensphysique,听许嵩周杰伦歌的人都要结婚了,刚刚,1
167882,美少女LF,今天打卡这首歌,,,刚刚,0
167882,真的不要荒古啊,2020.4.4今天是清明但却没有下雨，我很想你们,,,刚刚,0
167882,用户513921836,又是一年清明时 打卡嵩哥《清明雨上》今年清明没能回家扫墓 唉！明年定要回去 扫墓祭祖,,,刚刚,0
167882,她是个傻子吧,2020.04.04 16:00,,,刚刚,0
167882,退隐于此,"2020.4.4
逝去的人，不曾走远
此致敬礼",,,刚刚,0
167882,永遠陪伴著守護倪,正在下雨🌧️,君向潇湘我向秦1008,2020年的清明没有雨,刚刚,0
167882,nutInneverland,2020.4.4,,,刚刚,0
167882,学不会伪装丿,为什么是清明雨上？因为雨下是人间，雨上是天堂。,,,刚刚,0
