id,nick,comment,refer_nick,refer,time,star
550640919,在等月亮嗎_yf,致敬英雄，缅怀同胞,,,9分钟前,3
550640919,妈妈说名字长点才会有傻子跟着念,"致敬英雄，永垂不朽，安好
2020.04.04",,,9分钟前,3
550640919,JiaoZeLong,这踏马不是沈腾的声音吗,,,11分钟前,1
550640919,不能不吃早饭o,好快。,玄墨木子吖,又是一年清明。,19分钟前,0
550640919,不能不吃早饭o,我们只是被困在了家里。而有些人却被永远困在了冬天。,,,20分钟前,7
550640919,上杉幸子,愿祖国往后，山河无恙，风调雨顺,,,26分钟前,4
550640919,该名称不符合规范,真有素质，我只是觉得不尊重原曲,十九-zyx,给爷爬,27分钟前,1
550640919,可爱E薯片,桃李春风，浊酒与谁共饮？,,,28分钟前,4
550640919,惜年180311,“这一天不是让你无聊致死，而是让你活的明白。”,,,28分钟前,12
550640919,Mary-小星星,阴天,豆芽酿肉,今天清明，终于出太阳了，天气很好,32分钟前,1
550640919,神仙九五,逝者已逝，生者如斯，愿这清明春暖花开之时，我们把悲怆收敛，，记住疼痛，不忘美好🕊️,,,36分钟前,8
550640919,你爱吃橘子么,"我躺在床上一遍又一遍回想从语文课本中学到过的“生离死别”。看着名单上的那些人，不知道他们是谁的父亲、谁的丈夫、谁的儿子、谁的亲人...在生命面前，我们显得太渺小了。
忽然意识到，我们的人生早已进入送别模式。课本只教会我死亡是一件正常的事，没有告诉我离别的意义。",,,39分钟前,10
550640919,十月揽星河_insv,好听,,,40分钟前,0
550640919,鳳離卿,清明又至，愿安好。生者人世平安顺遂，逝者天堂无忧无虑。山河无恙，风调雨顺。,,,42分钟前,2
550640919,最爱林杨大队长,"铭告自己，心存感激
愿祖国往后，山河无恙，人世安康
2020.4.4",,,46分钟前,5
550640919,榧苌,天哪，今天日光破云而出，这才是春天。这是我们如此勇敢的祖国[多多大哭],,,48分钟前,3
550640919,-小小平,20岁又不老，20岁有无限可能鸭,清茶_Mua,有人说用网易能找到女朋友，现在我20岁了，网易也9级了，我还是单身。,50分钟前,0
550640919,以蓝天为海,好听,,,57分钟前,0
550640919,柔荑yl,好好听，但莫名心❤️一抽一抽,,,59分钟前,1
550640919,那晚间的风,下雨,豆芽酿肉,今天清明，终于出太阳了，天气很好,13:21,1
550640919,薛豆腐,吓死我了，我真是怕连这种歌下面都是你们的受伤爱情小故事呢…,,,13:20,1
550640919,用户1955048959,"中国人总是被他们之中最勇敢的人保护得很好－－基辛格《论中国》
我知道你们都是，这个世界上最勇敢的人，可是你们知道吗？疫情快要结束了，我多希望你们可以和我们一起迎接最后的胜利啊！",,,13:17,6
550640919,拉拉啦啦啦on,好,长鼻子木偶_,"清明，又是雨。
雨淅淅沥沥地下着，整日整夜，没完没了。
敲着古老的木格子窗，然后落在青石上，无影无踪。
周围依然弥漫着杏花酒的香气，随着风，忽远忽近，丝丝楼缕。",13:14,0
550640919,肥宅黎小熙,山清水明，英灵可归,,,13:12,4
550640919,豆芽酿肉,今天清明，终于出太阳了，天气很好,,,13:09,1
550640919,玄墨木子吖,又是一年清明。,,,13:05,2
550640919,从此星河-长明,原凛冬消散，春暖花开，再无国殇,,,13:03,1
550640919,人生皆如梦似幻,清明细雨荡乾坤，郊外行人欲断魂。悲伤在心泪滚滚，坟前叩首意沉沉。昔年欢乐享天伦，今朝泪眼话离分。生者永远不忘本，时刻铭记先辈恩。,,,13:03,4
550640919,Energy-saver,致敬,,,13:03,0
550640919,银河觉醒计划,杯酒温，薄雾浓云风清冷。 晚来风，流连处又近黄昏。,,,13:02,1
550640919,十九-zyx,给爷爬,该名称不符合规范,刷致敬的去歌单的评论区刷嘛,13:01,2
550640919,木木小瓜巴,今年的清明，比往年的都要冷。以为祭拜我的母亲，但家里有个习俗，只能拜新山。甚是想念！一晃就过了大半年。,,,13:00,3
550640919,十九-zyx,致敬,,,12:58,1
550640919,银白毛小狐狸,"举国上下，缅怀英烈。
哀悼逝者，致敬英雄。",,,12:52,2
550640919,糖渡星河,清明雨纷纷，相思有几分，愿安好,,,12:50,6
550640919,风吹走kl,"2020.4.4
致敬！",,,12:49,4
550640919,牧穆沐牡,胸中每一滴热血都撒向中国大地,,,12:46,0
550640919,该名称不符合规范,刷致敬的去歌单的评论区刷嘛,,,12:41,2
550640919,呐Diddy,"一次生前孝，胜过墓地万次扫，清明泪洒万堆纸，不如在世一碗粥。
致清明——百善孝为先",,,12:39,1
550640919,风扬花飞,你们是英雄，祖国人民永远记住你们！,,,12:37,0
