id,"nick,comment",refer_nick,refer,time,star
63518,朴暖光哟,五个多月了，我还是很想你,,,19分钟前,0
63518,秋风拂渭水,树欲静而风不止，子欲孝而亲不在。愿安好,,,20分钟前,0
63518,uloom,让我困在城市里，纪念你🕯,,,42分钟前,0
63518,JDI001,离开我们快两年了，爷爷,,,15:27,0
63518,兔兔没长牙,我好想你,,,15:26,0
63518,菜丁壳1107,我爷爷奶奶也是生怕给我的不够多。,回音哥哥,👵🏻又给我钱了,14:53,0
63518,名字够长就能做薛之谦的女人,6年了 好想您呀,,,14:41,0
63518,AKA吴彦祖N,爷爷我想你了,,,14:13,0
63518,Sparkss_,祝你生日快乐 爷爷会一切安好,Tempertature,爷爷啊，马上就是清明了。今天和奶奶看剧，柿红的第一个丈夫出车祸死了，奶奶说好人不长命。爷爷，我也不想当好人了，可是好像有点难。奶奶老冤枉雪茹，雪茹不服气就要顶几句，我说每次这种时候，爷爷就会跟姐姐说不要搭理她们。雪茹说姐姐这是传承吧。是传承。爷爷我好想您啊，我的生日也马上就到了哦,13:25,0
63518,弦枨,我好想你。,,,12:56,0
63518,回音哥哥,👵🏻又给我钱了,,,12:36,1
63518,Joke_fz,2020年4月4日11:15,,,12:01,0
63518,木易囡子,对面楼的老爷爷在辅导他的小孙子做作业，一坐就是一上午。小孩抗议到要休息了，爷爷却说作业没做完不能休息……我打心底里羡慕着小孩！我的爷爷，他已经去世十一年了！十一年间，我曾无数次在梦里见到他还活着，然后又去世了的场景，每次都哭得痛心疾首！我想是不是他怕我太小，会忘记他。,,,11:57,0
63518,喵sir1904,我爷爷走的时候啊。我看着爷爷的鞋底，上面画着云雾莲花通天塔，我想爷爷应该会踏着云彩飞向天堂吧,新德里小麻鸭,我呀，帮你扣了最后一件衣服的扣子，我好好地跟你说再见了。你看我乖不乖脾气好不好，你走的时候都没睁开眼看看我，都不握握我的手，我都没生气。我帮你扣了扣子，握了握你冷掉的手，我真的很乖，我其实真的很不舍得但我清楚我得跟你说再见了。,11:13,0
63518,偏爱周九良,我终于懂时间的重量。,,,11:08,0
63518,面朝大海春暖花开哇,真的有天堂吗？,,,11:08,0
63518,大白兔味的周深,没有人比我爷爷更爱我，没有人比我更想我爷爷,,,11:06,0
63518,偏爱周九良,爷爷和姥爷在那边还好吗？如果可以的话我们下辈子还做亲人好不好,,,11:06,0
63518,皮卡丘上线啦,爷爷 你走后的第一个清明 真的好想你 有空就来梦里看看我吧,,,10:42,1
63518,会等葡萄成熟时,从一四年开始 这两个字 我就再也没有机会叫了 六年了 都说亲人死后会变成天上的星星 所以晚上看星星的时候我始终会相信天上最亮的那颗就是你 看着你的遗像的时候我都在想 你这个老头怎么走了还笑的那么开心 爷爷 想你了 真的,,,09:42,3
