id,"nick,comment",refer_nick,refer,time,star
27808547,想梦与你,愿所有热爱世间美好的人，都被人珍爱。,,,3分钟前,0
27808547,想梦与你,今天也是，清明节，全国哀悼。愿你们都安好。,黑米奇_,今天南京一定很挤吧 毕竟有三十多万人要回家,4分钟前,0
27808547,gunzai_,"“人死了，就变成一个星星。” “干嘛变成星星呀？” “给走夜道儿的人照个亮儿……” ──史铁生
从第一次在好声音上听到那首《也许明天》就被深深地震撼到 一直觉得 你翻唱的版本 至今没有人能够超越 因为在你的歌声里 我听到了生命的力量...五年过去了 我们都很想念你❤️",,,58分钟前,1
27808547,南楠南南,一首天上的歌，缅怀英烈,,,12:21,0
27808547,驼峰里的鱼,生命的河，喜悦的河清明追思，致敬英雄,,,08:09,1
27808547,Riiiiingo,生命的河,,,06:17,0
27808547,Gray_Yiu,人民英雄永垂不朽！,,,01:18,0
27808547,浮提1617,我不会忘了这首歌,,,4月1日 21:25,1
27808547,俩蛙,想念姐姐的声音了,,,3月31日 23:47,3
27808547,Glassy5ky,想你了,,,3月29日 19:46,1
27808547,三沈先生,王雪柔，温暖、感动的力量。,,,3月28日 10:07,2
27808547,十二吴先生,这两天在看声入人心（一）有两位歌者演唱了这首歌，就又回来了,,,3月28日 09:25,1
27808547,_隰有荷华兮,哇塞好听,,,3月27日 19:11,1
27808547,沸腾的情愫,听的我鸡皮疙瘩都起来了,,,3月27日 13:54,1
27808547,依爱926,,,,3月27日 02:45,1
27808547,MorningGlory17,"这其实是一首教会歌曲
歌词未改变
旋律重新谱了",,,3月26日 10:19,1
27808547,thegirl190115,基督教歌曲,,,3月25日 18:27,3
27808547,雙宇sy,真的是天籁之声,,,3月24日 15:03,1
27808547,咱可是贤狼赫萝jia,愿祖国强盛，再无灾难,,,3月22日 22:39,2
27808547,ChaNg_Well,姚峰老师也是位优秀的音乐教育家，只可惜姚贝娜，天妒英才。,爱吐槽的某人,姚峰（姚贝娜父亲）：她说最大的遗憾，是没有参加《我是歌手》这样的节目，因为在《我是歌手》上，她可以唱一首完整的歌，可以唱自己喜欢的歌。以我对女儿的了解，她不是为了出更大的名，而是想唱自己喜欢的歌给更多人听，仅此而已。,3月22日 00:28,0
