id,"nick,comment",refer_nick,refer,time,star
29850685,熊猫-污龟,单曲购买了 新地球这张专辑真的很好听，jj每首歌都很赞呐。,,,6分钟前,0
29850685,Yummy25,我也好想我的奶奶，十多年了我就梦见过她一次，醒来不知道梦到什么，但是很确定梦到了她，真的好想啊。,Catch大圆吖,“奶奶知道我怕鬼 所以她一次也没有来过我的梦里 一次都没有”,21分钟前,0
29850685,thatunfresh,“我们历经苦难，我们生生不息”,,,49分钟前,0
29850685,莫冉初心,"我语文不好，但我会写中国！
我英语不好，但我会读China！
我地理不好，但我知道地图上的雄鸡！
我数学不好，但我记得960万平方千米
我历史不好，但永远不会忘记1949！",,,15:11,0
29850685,准时上线的我科,还有科比,条油有没浆豆,"我不敢祝你幸福，平安就好
从雪梨，到具荷拉，高以翔，生命太脆弱了，而每一个生命的逝去留下的创伤又太刻骨铭心了。晚安吧，好好睡～天堂会有人继续爱你们～",14:32,0
29850685,是草莓的夹心饼干,"To the heroes,to the people alive.",,,14:30,0
29850685,一步两步三步四步望着晴天,星星 坠落,,,14:17,0
29850685,本宫早已位列仙班,今天哀悼，为国家的英雄，也为视我如命的爷爷。祝大家都好,,,14:17,1
29850685,二少帮主,今天听的时候发现要VIP了，听了这么久！！,,,14:01,1
29850685,上一次想你还是冬天,致敬英雄,,,13:19,0
29850685,疯银杏,今天听这首歌真的太感动了，生生不息的烈士们 安息🙏🏻🙏🏻🙏🏻,,,13:06,0
29850685,灿妮儿-pcy,我小学是老林的颜粉,斑斑班班马,深夜思念我林，小学嫌你丑，初中嫌你温柔，高中嫌你倔强，大学会你所有的歌，怀念每一个你，深夜思念我林。十年。就无所谓再来一个十年。,12:19,0
29850685,泡芙真好吃-,听了这么久 结果要花钱了,,,12:05,1
29850685,lixibenren,生生不息,,,12:04,0
29850685,Westkuma,英雄永不眠,,,11:42,0
29850685,Candygane,突然觉得jj这首歌好像就是为了这一刻致敬英雄的，在永夜的时候，永远有你牵着我的手，你们的精神会一直生生不息。,,,11:13,2
29850685,猫失散,逝者安息，生生不息,,,11:11,0
29850685,iiianthe_,生生不息,,,11:07,0
29850685,够钟_vfFt,致敬英雄 生生不息,,,11:03,1
29850685,跳芭蕾舞的大黍_,“人死了，就变成一个星星。” “干嘛变成星星呀？” “给走夜道儿的人照个亮儿……” ──史铁生 致敬英雄,,,10:48,1
