id,"nick,comment",refer_nick,refer,time,star
346075,我是黄三火老师,陕西到贵州，一千公里的路程，从此故乡只有冬夏，再无春秋。,川_普希金,现在不能回家的痛是填志愿时装的逼。,刚刚,0
346075,山川而川_uIL4,心酸可惜呀，我没有在那个时代，没有见证他们的辉煌,萧傻12138,梦碎日本富士山，泪洒港台将军澳。世间纵有千万曲，人间再无黄家驹。,6分钟前,1
346075,北栀有点好,加油，同城小姐姐,您的账号已登陆,一直被妈妈要求戒烟，可老是控制不住自己，看着被自己一次次气哭的妈妈。心里很后悔。努力加油，真的爱你,19分钟前,0
346075,左额,看你评论的我哭了,咁咁咁就好,18岁实习时候，每次晚上回宿舍上楼梯，房东一家就开饭了，一家人嘻嘻哈哈，我自己拿着快餐默默上楼，回到宿舍一个人一边吃一边流泪，过后我跟我妈说了，我妈很平静的说，工作就是这样咯。时隔好久我妹跟我说，以后委屈不要跟老妈说，那次你说很羡慕一家人一起吃饭，自己却一个人，老妈半夜哭到发抖,28分钟前,0
346075,羽佳_wx,别在这装了都是假的。😊😊😊😊,Mison维C丶,2019年元宵节的前两天，妈妈走了，心梗。当时在网吧玩游戏 妈打我电话没接 发短信说 :儿子别玩太晚了 ，外面冷。妈 我才21岁 我还没长大，你为什么要丢下我，我还没长大，还没让你享福啊。我现在懂事了你能回来吗？儿子想你了 真的想你了 真的,30分钟前,0
346075,Wong凯,逝者安息生者拼搏！,,,15:04,1
346075,我不是野区歌神,2020年 四月四日 致敬英雄 逝者安息 生者奋发,,,14:05,6
346075,七岁索,“这一天不是让你无聊致死，而是让你活得明白”——2020.4.4,,,14:03,4
346075,言不由喵,2020年4月4日向新冠肺炎逝者安息向伟大的英雄致敬！,,,13:59,5
346075,南喵北呜,伟大的母爱,,,13:54,2
346075,南喵北呜,2020年4月4日向新冠肺炎逝者安息向伟大的英雄致敬！祝他们一路走好。,,,13:49,6
346075,南喵北呜,yes,jo老话,不,13:46,2
346075,精神小伙byq,2020.04.04向英烈致敬,,,13:17,8
346075,jo老话,不,,,13:00,3
346075,嘉迎是Joe的太阳,"ᴴᵒʷ ᵐᵃⁿʸ ᵖᵉᵒᵖˡᵉ ʷⁱˡˡ ʸᵒᵘ ᵐᵉᵉᵗ ᵗᵒ ᵏⁿᵒʷ ᵗʰᵃᵗ ᴵ ᵃᵐ ᵗʰᵉ ᵇᵉˢᵗ
你到底要遇到多少人 才知道我是最好的",,,12:55,4
346075,故事久埋心,一起努力活成自己想要的样子,郁安_T,加油,1月6日 09:24,94
346075,吖頭99,陪在你身边的人不是我，你遗憾吗？,,,1月5日 23:45,652
346075,东环大道268号,今晚我才真正意识到，妈妈一直催我结婚的原因，我一直以刚刚毕业为由，安慰她不着急不着急，其实.... 唉，不说了,,,1月5日 23:19,520
346075,芳时不歇,评论里好感动啊。我也有最好的爸妈和弟弟。,,,1月5日 22:20,354
346075,明月D楼台,"十九有余，姐姐24没对象
其他的咋们几乎一样°😞",上官兮夜,我也是 今年还没到18 有一个大我6岁的姐姐 父母却已经快50了 父母身体不好 姐姐马上也要出嫁了 现在压力很大！,1月5日 21:40,38
