id,"nick,comment",refer_nick,refer,time,star
139910,脱非入欧计划总策划师,写给别人的曲，本身就是为对方打造的。所以既然是写给潘的歌，杰伦当然是希望适合潘的啦~有杰伦的味道是当然的，杰伦的曲很有辨识度的,Hello_pdk,虽然我是杰迷 但这首歌 只有潘玮柏来唱才合适,昨天02:52,0
139910,Vincent-贰贰叁,想起初中的时候在宿舍带着耳机听mp3入睡…mp3还要藏在被子里怕班主任查寝发现…,,,昨天00:13,0
139910,听歌的一枚小吃货,看到作词作曲就有想听的冲动,,,4月2日 08:50,1
139910,miDDl咪豆er琳-小叽歪,第一次听是18年前的事情了…,,,4月1日 10:10,0
139910,光阴似箭命里无时莫强求,嚼着浪漫么,_annieeee,我好喜欢这句 调整咖啡的杯垫.,3月30日 11:12,0
139910,byiiiiiiii,"我宁愿危险，
一生不安全，
在你身边。",,,3月29日 11:59,1
139910,人间水蜜陶I,听着听着就感觉像杰伦的感觉 还真是杰伦作词,,,3月29日 09:39,0
139910,-Kinako,记得小学那会儿很迷潘玮柏 放学回家写完作业就听歌看节目 这首歌是当年在湖南卫视汪涵主持的音乐不断歌友会听到的 当时奶奶给买他的录音机磁带 老爸给买DVD碟片听 大概有14年了[多多大笑],,,3月27日 23:20,0
139910,EH-07,我来回忆了,,,3月26日 12:51,0
139910,KiKi喜欢小草莓,我也爱了♥️,77-T,潘帅早期的声音就是这样，他的咬字方式超级清晰。后期注重硬核唱法，嗓音也变成了低音炮。但是潘帅的声音是真的好听，我一男的都觉得好听不行，超级喜欢他的声音,3月26日 08:32,0
139910,77-T,潘帅早期的声音就是这样，他的咬字方式超级清晰。后期注重硬核唱法，嗓音也变成了低音炮。但是潘帅的声音是真的好听，我一男的都觉得好听不行，超级喜欢他的声音,KiKi喜欢小草莓,是感冒的时候唱的吗？鼻音好好听,3月26日 08:17,1
139910,77-T,这层楼的jay迷还算友好，潘帅离不开的话题总有周董，这俩人我都喜欢，你说吵起来我帮谁。[多多耍酷],GacidBru,小时候我觉得潘玮柏比杰伦帅。。,3月26日 08:15,1
139910,火星雾霾喵,"我将花生吐司切片
调整咖啡的杯垫
这句很周杰伦啊",,,3月25日 14:43,0
139910,我会等下一年,我现在也觉得,赵找找宇,潘玮柏就是比Jay帅啊。。。,3月23日 02:17,0
139910,奈良川NARA,没人站在我这边,,,3月20日 20:57,1
139910,皮路路,,从前听你说,怪不得听起来这么像周杰伦,3月20日 00:40,0
139910,艾jennifer,只听旋律就能出杰伦的感觉 周氏情歌的太明显了,,,3月19日 21:31,0
139910,KiKi喜欢小草莓,好听到哭了！,以父之名_A,潘帅以前的歌都是这样鼻音！,3月18日 22:18,0
139910,腥甜蜜梨,前奏真的很好听,,,3月18日 20:51,0
139910,以父之名_A,潘帅以前的歌都是这样鼻音！,KiKi喜欢小草莓,是感冒的时候唱的吗？鼻音好好听,3月18日 20:18,0
