id,"nick,comment",refer_nick,refer,time,star
36199725,斜街1990,旅行团，继逃跑计划我知道的第二个乐队，让我明白乐队不止摇滚🤘🏻,,,4分钟前,0
36199725,来治孤单的小孩,生日快乐,枫叶下的小鹿_,"四年一次的4月4日清明節
人生真的不長，
而且無常
若是不能一路單純到底
別忘記最初的自己
以自己喜歡的方式過一生
人有一天都會死，隨時都有可能
想到結束，
就覺得再曲折的過程也沒什麼大不了
所以不管發生什麼，我始終相信，
都會是好的
祝我生日快樂💚
逝去的人不曾走遠☺️",4分钟前,0
36199725,斜街1990,啊啊啊啊啊啊啊啊啊啊！旅行团冲鸭！,Freya_Lee_,大家！！！！团儿奇袭成功了！！！竟然赢了声入人心啊团儿出息了第十期唱这首,5分钟前,0
36199725,穿着衣服去裸奔的少年,逝去的人一直在他们爱的人心中，不曾消失。,,,15分钟前,2
36199725,枫叶下的小鹿_,"四年一次的4月4日清明節
人生真的不長，
而且無常
若是不能一路單純到底
別忘記最初的自己
以自己喜歡的方式過一生
人有一天都會死，隨時都有可能
想到結束，
就覺得再曲折的過程也沒什麼大不了
所以不管發生什麼，我始終相信，
都會是好的
祝我生日快樂💚
逝去的人不曾走遠☺️",,,38分钟前,1
36199725,tcxas,又是一年清明啦,晚安地球人24,大学中待我最好的学姐，在其毕业前夕纵身跃下7楼.我远远看见担架盖着白布把她带走，从此经过那栋宿舍都会不停往那个窗口张望，关于她的点点滴滴我都记得非常清楚，或许最后悔的是没有给她朋友应有的关心。去年我也毕业了，在慢慢成长，她曾说过，人生是美梦与热望。今天清明，逝去的人不曾走远。,45分钟前,0
36199725,旧物非旧,是,來杯蘇打吧,第十期是这首吗？,51分钟前,0
36199725,三知温,一直在身边，不会走远。,,,51分钟前,0
36199725,低空飞行_kass,逝者安息🕯,,,54分钟前,1
36199725,杨花落尽归故里,小冬冬，，，，,五维不张,大学毕业了半年。室友叫了我四年冬哥，突然发现我都是直呼其名。每年还可以吃六次蛋糕、过六次生日的日子杳然不在。天涯四方，没处安家。,56分钟前,0
36199725,提神醒脾的柠檬,半个月的时间，爷爷的病情发展很快。前天还能说话思维清晰，后天就已经昏睡不止。他咽不下水，他很艰难地吮吸棉签头上的水，浑身发抖看得人心疼、心痛……癌症的疼痛他从未表现出来，一向胆小的他，却从来没说过一句我不想死，我害怕。从发病到死亡我一直陪在他身边。这首歌您听见了吗？🕯️4.2,,,56分钟前,1
36199725,一架桌子,逝去的人就在心间,,,58分钟前,0
36199725,一架桌子,逝去的人不曾走远,,,58分钟前,0
36199725,-瑟夫,人啊，活着多好，不需要靠物证…,,,15:22,0
36199725,deer-娜行,逝去的人不曾走远,,,15:21,1
36199725,小童子098,逝去的人 不曾走远,,,15:19,1
36199725,鸡肋少了味,他说早知道唱那首，应该就这首了吧,,,15:19,0
36199725,焦糖迈迈奇,冬哥，春天来了。,五维不张,大学毕业了半年。室友叫了我四年冬哥，突然发现我都是直呼其名。每年还可以吃六次蛋糕、过六次生日的日子杳然不在。天涯四方，没处安家。,15:18,0
36199725,痞爷_bieber,一定一定都会好起来,ahakzzbzgaj,"今天抽干细胞，明天抽骨髓
我躺在病床上，嘴巴有点麻
旁边的机器一直响，吵的我有点烦
爸爸在移植仓里，他说他很痛
大家说一切总会好的，我相信
2020-3-23
深圳市第二人民医院",14:44,0
36199725,來杯蘇打吧,第十期是这首吗？,,,14:40,0
