id,"nick,comment",refer_nick,refer,time,star
1407595459,喝醉的猫少爷,来了来了,长青mmmmmmm,B站来的都过来报道了。。。 莫名的好听,15:14,0
1407595459,养乐多小莹,愿逝者安息，愿生者奋发，愿祖国昌盛,,,13:30,2
1407595459,小樱仙贝,心中有梦 不负韶华 我们一起迎接出征的那一天 辛苦了 前线的医护人员 我们向你们致敬,,,11:50,3
1407595459,MIA-AZU,"2020.04.04今天我打开番茄to do🍅在待办事项里填上 用心听歌拿起手机 打开音乐 看着歌词 了解歌手 就这样静静的
今年有太多可爱的生命陨落 大火里穿梭的身影 病床上虚弱的身体 医院里奔波的白衣天使 热爱生活 把每一天好好过活有人替我们负重前行 我们起码不能辜负 日暮我在等你",,,11:03,3
1407595459,Allen_zou,俺也一样,SekiHK,甚至觉得现场版更好听[多多笑哭],10:53,0
1407595459,灵儿SHA,致敬,,,10:33,0
1407595459,小兔没有软糖,致敬,,,08:16,0
1407595459,魔剑士s,愿逝者安息，愿生者奋发，愿主国昌盛。,,,00:20,0
1407595459,冷清zrz,小破站过来的,,,昨天23:48,0
1407595459,移尹,woc有画面了哈哈哈,LastEpisode,我忘不了那个弹幕：儒雅的猴子,昨天21:02,0
1407595459,移尹,超潇洒超帅,,,昨天21:01,0
1407595459,听众朋友ry,,ShoU君,这首歌很吸引我的点在于，它听着不似一首“情歌”。这是唱“情”的，但不是普通意义上的男女之情，更像是高山流水觅知音的那种“情”‘，听着有种中性而恬淡的君子之情，妙啊~~~~,昨天18:06,0
1407595459,Sunny豪少,古风王子！,,,昨天10:31,0
1407595459,暢遊天際,日推来的，仙气十足啊！,,,4月2日 21:56,0
1407595459,姓疯的,我也听成这个了哈哈,玻璃熊,瑶瑶～ 不是～个可爱的人呐～,4月2日 19:12,0
1407595459,恪密,咋开？,哎呀啦啦起名字好烦,哇塞打开古风特效好好听啊,4月2日 16:50,0
1407595459,跳下忘川的顾小五,戴荃老师是个宝藏诶！吼吼吼吼吼,,,4月2日 14:41,3
1407595459,养乐多小莹,这！,荻野千寻的移动城堡,从b站华服日爱上这首歌的举手,4月2日 12:41,0
1407595459,尹心悦0504,从玄一直播间过来的,,,4月2日 07:56,0
1407595459,dantata,这是什么神仙啊,,,4月2日 07:13,0
